PathwayName	PathwayID	GeneName	GeneID
Angiotensin II receptor type 1 pathway	WP5036	JUND	3727
Angiotensin II receptor type 1 pathway	WP5036	IL11RA	3590
Angiotensin II receptor type 1 pathway	WP5036	IL11	3589
Angiotensin II receptor type 1 pathway	WP5036	RRAS	6237
Angiotensin II receptor type 1 pathway	WP5036	AGTR1	185
Angiotensin II receptor type 1 pathway	WP5036	MAP2K6	5608
Angiotensin II receptor type 1 pathway	WP5036	SP1	6667
Angiotensin II receptor type 1 pathway	WP5036	COL1A1	1277
Angiotensin II receptor type 1 pathway	WP5036	IL6ST	3572
Angiotensin II receptor type 1 pathway	WP5036	ACE2	59272
Angiotensin II receptor type 1 pathway	WP5036	SMAD4	4089
Angiotensin II receptor type 1 pathway	WP5036	MAPK1	5594
Angiotensin II receptor type 1 pathway	WP5036	PDGFD	80310
Angiotensin II receptor type 1 pathway	WP5036	HIF1A	3091
Angiotensin II receptor type 1 pathway	WP5036	CTGF	1490
Malignant pleural mesothelioma	WP5087	AGER	177
Malignant pleural mesothelioma	WP5087	PDK1	5163
Malignant pleural mesothelioma	WP5087	FOSL1	8061
Malignant pleural mesothelioma	WP5087	MLKL	197259
Malignant pleural mesothelioma	WP5087	MAPK14	1432
Malignant pleural mesothelioma	WP5087	GSK3A	2931
Malignant pleural mesothelioma	WP5087	MAPK8	5599
Malignant pleural mesothelioma	WP5087	SFRP1	6422
Malignant pleural mesothelioma	WP5087	GRB2	2885
Malignant pleural mesothelioma	WP5087	VEGFA	7422
Malignant pleural mesothelioma	WP5087	AXIN2	8313
Malignant pleural mesothelioma	WP5087	MST1	4485
Malignant pleural mesothelioma	WP5087	ATG13	9776
Malignant pleural mesothelioma	WP5087	PAK1	5058
Malignant pleural mesothelioma	WP5087	SOS1	6654
Malignant pleural mesothelioma	WP5087	E2F1	1869
Malignant pleural mesothelioma	WP5087	TP53	7157
Malignant pleural mesothelioma	WP5087	CDKN1A	1026
Malignant pleural mesothelioma	WP5087	TCF7	6932
Malignant pleural mesothelioma	WP5087	MDM2	4193
Malignant pleural mesothelioma	WP5087	CDK7	1022
Malignant pleural mesothelioma	WP5087	MAP2K5	5607
Malignant pleural mesothelioma	WP5087	NF2	4771
Malignant pleural mesothelioma	WP5087	ULK1	8408
Malignant pleural mesothelioma	WP5087	NLRP3	114548
Malignant pleural mesothelioma	WP5087	NFKB1	4790
Malignant pleural mesothelioma	WP5087	MDK	4192
Malignant pleural mesothelioma	WP5087	EIF4G1	1981
Malignant pleural mesothelioma	WP5087	CDK4	1019
Malignant pleural mesothelioma	WP5087	TAZ	6901
Malignant pleural mesothelioma	WP5087	APC	324
Malignant pleural mesothelioma	WP5087	PTEN	5728
Malignant pleural mesothelioma	WP5087	BAK1	578
Malignant pleural mesothelioma	WP5087	TELO2	9894
Malignant pleural mesothelioma	WP5087	YAP1	10413
Malignant pleural mesothelioma	WP5087	DKK1	22943
Malignant pleural mesothelioma	WP5087	TSC1	7248
Malignant pleural mesothelioma	WP5087	FOXO1	2308
Malignant pleural mesothelioma	WP5087	MAP3K1	4214
Malignant pleural mesothelioma	WP5087	AKT1S1	84335
Malignant pleural mesothelioma	WP5087	CUL1	8454
Malignant pleural mesothelioma	WP5087	BTRC	8945
Malignant pleural mesothelioma	WP5087	SAV1	60485
Malignant pleural mesothelioma	WP5087	RPS6KA2	6196
Malignant pleural mesothelioma	WP5087	BECN1	8678
Malignant pleural mesothelioma	WP5087	RABGEF1	27342
Malignant pleural mesothelioma	WP5087	PTK2	5747
Malignant pleural mesothelioma	WP5087	RPS6KA5	9252
Malignant pleural mesothelioma	WP5087	WWC1	23286
Malignant pleural mesothelioma	WP5087	RICTOR	253260
Malignant pleural mesothelioma	WP5087	AMOT	154796
Malignant pleural mesothelioma	WP5087	MKNK1	8569
Malignant pleural mesothelioma	WP5087	BAP1	8314
Malignant pleural mesothelioma	WP5087	DEPTOR	64798
Malignant pleural mesothelioma	WP5087	RPTOR	57521
Malignant pleural mesothelioma	WP5087	AJUBA	84962
Malignant pleural mesothelioma	WP5087	MAPKAP1	79109
Malignant pleural mesothelioma	WP5087	MAPK1	5594
Malignant pleural mesothelioma	WP5087	LATS1	9113
Malignant pleural mesothelioma	WP5087	CASP1	834
Malignant pleural mesothelioma	WP5087	EIF4EBP1	1978
Malignant pleural mesothelioma	WP5087	HRAS	3265
Malignant pleural mesothelioma	WP5087	WDR5	11091
Malignant pleural mesothelioma	WP5087	MAPK3	5595
Malignant pleural mesothelioma	WP5087	SRC	6714
Malignant pleural mesothelioma	WP5087	RAF1	5894
Malignant pleural mesothelioma	WP5087	RPS6	6194
Malignant pleural mesothelioma	WP5087	ATM	472
Malignant pleural mesothelioma	WP5087	SHC1	6464
Malignant pleural mesothelioma	WP5087	MMP9	4318
Malignant pleural mesothelioma	WP5087	DVL1	1855
Malignant pleural mesothelioma	WP5087	MAP2K3	5606
Malignant pleural mesothelioma	WP5087	STAT1	6772
Malignant pleural mesothelioma	WP5087	PRB1	5542
Malignant pleural mesothelioma	WP5087	JUN	3725
Malignant pleural mesothelioma	WP5087	CCNE1	898
Malignant pleural mesothelioma	WP5087	MLST8	64223
Malignant pleural mesothelioma	WP5087	TTI1	9675
Malignant pleural mesothelioma	WP5087	RB1CC1	9821
Malignant pleural mesothelioma	WP5087	MCL1	4170
Malignant pleural mesothelioma	WP5087	TSC2	7249
Malignant pleural mesothelioma	WP5087	LRP1	4035
Malignant pleural mesothelioma	WP5087	HIF1A	3091
Malignant pleural mesothelioma	WP5087	BBC3	27113
Malignant pleural mesothelioma	WP5087	TEAD1	7003
Malignant pleural mesothelioma	WP5087	BCL2	596
Malignant pleural mesothelioma	WP5087	AKT1	207
Malignant pleural mesothelioma	WP5087	IL1B	3553
Malignant pleural mesothelioma	WP5087	BRSK1	84446
Malignant pleural mesothelioma	WP5087	RHEB	6009
Malignant pleural mesothelioma	WP5087	CCND1	595
Malignant pleural mesothelioma	WP5087	BAX	581
Malignant pleural mesothelioma	WP5087	MAP2K4	6416
Malignant pleural mesothelioma	WP5087	LEF1	51176
Malignant pleural mesothelioma	WP5087	PIGF	5281
Malignant pleural mesothelioma	WP5087	MMP2	4313
Malignant pleural mesothelioma	WP5087	MAPK7	5598
Malignant pleural mesothelioma	WP5087	FZD1	8321
Malignant pleural mesothelioma	WP5087	CDKN2A	1029
Malignant pleural mesothelioma	WP5087	HMGB1	3146
Malignant pleural mesothelioma	WP5087	JAK1	3716
Malignant pleural mesothelioma	WP5087	CTNNBL1	56259
Malignant pleural mesothelioma	WP5087	MAP2K1	5604
Malignant pleural mesothelioma	WP5087	PDGFA	5154
Malignant pleural mesothelioma	WP5087	PASK	23178
Malignant pleural mesothelioma	WP5087	RASA1	5921
Malignant pleural mesothelioma	WP5087	CDK2	1017
Malignant pleural mesothelioma	WP5087	PIK3CA	5290
Malignant pleural mesothelioma	WP5087	MTOR	2475
