X	GSM49597
MIR4640	311.7
RFC2	7.5
HSPA6	166.2
PAX8	937.9
GUCA1A	13.4
MIR5193	222.4
THRA	174.6
PTPN21	21.3
CCL5	18.3
CYP2E1	56.2
EPHB3	65.7
ESRRA	67.3
CYP2A6	222.6
GAS6	514
MMP14	646.7
TRADD	154.9
CHURC1-FNTB	14.8
PLD1	85.9
DTX2P1-UPK3BP1-PMS2P11	488.2
BAD	17
PRPF8	252.2
CAPNS1	179.3
RPL35	548.4
MIR6805	1547
EIF4G2	1346.6
EIF3D	190.1
PARK7	375.9
SRP14	408.5
GDI2	234.8
GDI2	637.8
RPL11	747
ARF3	325.9
RPL21P28	1339
RPL24	1067.3
HNRNPC	189.3
SEPT2	643.7
HNRNPA1P10	1388.2
RPS27A	1041.1
LOC100508408	2115
FAU	1122.2
TARDBP	277.3
CFL1	1456.5
RPL18	1111
EIF3F	448
RPS5	467.6
RPL27	1291.8
RPL34	2183.9
NARS	255.9
STARD7	161.6
RPL19	1094.8
SLC25A3	537.2
SNORD35B	2016
RPL9	2238.1
MIR5047	845.8
RPL6	940.1
CTDNEP1	163.4
RPL10A	295.7
CBX3	373.7
RPL17-C18orf32	1808.4
PSMB2	248.8
KHDRBS1	314.1
ATP6V1G2-DDX39B	298.5
RTCB	164.6
ERH	165.7
GATC	71.7
ABCF1	241.9
DAD1	142.2
YY1	345
JTB	334
KAT7	249.3
ZNF146	178.1
SART1	49.6
ILF2	130.2
SPAG7	280.4
ZPR1	139.6
TAF10	235.8
C1D	54.6
NONO	600.7
LOC101929240	194.2
RHOA	1045.3
RNPS1	266.1
RPS24	2348.6
RPL30	1466.4
NPM1	1896.5
HSP90AB1	909.2
MIR3620	278.7
IK	94.4
SNX3	519.4
CANX	868.7
SART3	80.3
CNPPD1	113.5
SMNDC1	135.9
HNRNPM	137
HNRNPD	165.7
RPL14	442.3
GUK1	73.7
KXD1	180.6
OAZ1	843.9
ATP6V0B	212
KARS	246.6
H3F3AP4	1196.5
RPS6	1087.9
RPS7	1054.6
USP22	294.4
C11orf58	169.7
TCEB2	219
COX4I1	536.1
TMED2	427.9
NBEAL1	1481.3
SNORD18C	922.9
FNTA	336.1
RPS25	1076.7
RPL37	1804.9
HINT1	294.8
EEF2	792.4
RPS10	2824.7
ATP6V0E1	453.6
HNRNPK	277.5
ANAPC5	236.5
SNORD73A	1918.3
HNRNPU	189.1
HNRNPU	491.1
EIF3A	181.5
EIF3A	15.9
EIF3A	96.4
MIR3652	100.9
MIR3652	1351.9
MSN	484.5
ACTN4	242.4
APP	236.9
PRKAR1A	501
PRKAR1A	65.8
PRKAR1A	193
DSP	213.8
RAD21	154.8
RAD21	149.4
WDR1	286
NCL	220.5
WDR1	252.8
