X	GSM49595
MIR4640	460.4
RFC2	44.3
HSPA6	69.8
PAX8	438.7
GUCA1A	5
MIR5193	112.8
THRA	61
PTPN21	25.1
CCL5	30.9
CYP2E1	31.6
EPHB3	23.8
ESRRA	77.4
CYP2A6	102.8
GAS6	425.9
MMP14	308.7
TRADD	113
CHURC1-FNTB	24.1
PLD1	71
DTX2P1-UPK3BP1-PMS2P11	210.4
BAD	63.7
PRPF8	346.7
CAPNS1	281.6
RPL35	1227.4
MIR6805	3318.8
EIF4G2	2441.1
EIF3D	293.5
PARK7	861.7
SRP14	841.6
GDI2	439.7
GDI2	688.6
RPL11	3446.5
ARF3	163.2
RPL21P28	3593.2
RPL24	4975.3
HNRNPC	539.1
SEPT2	1588.1
HNRNPA1P10	4453.3
RPS27A	5816.1
LOC100508408	4023.6
FAU	2225.6
TARDBP	382.4
CFL1	2228.9
RPL18	2478.1
EIF3F	710.4
RPS5	1127.7
RPL27	4993
RPL34	6168.8
NARS	609.1
STARD7	221.7
RPL19	3733.2
SLC25A3	1262.1
SNORD35B	6463.3
RPL9	4431
MIR5047	2043
RPL6	3370.5
CTDNEP1	112.1
RPL10A	2807.3
CBX3	705.1
RPL17-C18orf32	6253.2
PSMB2	299.6
KHDRBS1	473.5
ATP6V1G2-DDX39B	1080.6
RTCB	309.7
ERH	838.4
GATC	369.4
ABCF1	209.8
DAD1	293
YY1	596.8
JTB	857.8
KAT7	157.2
ZNF146	321.3
SART1	121.1
ILF2	552.1
SPAG7	246.2
ZPR1	76.6
TAF10	287.3
C1D	142.4
NONO	1349.6
LOC101929240	400.7
RHOA	1109.6
RNPS1	240.3
RPS24	6066.5
RPL30	5230.2
NPM1	3168.9
HSP90AB1	2839.9
MIR3620	492.8
IK	133.2
SNX3	418.2
CANX	2139.3
SART3	102.5
CNPPD1	18.5
SMNDC1	130.8
HNRNPM	427.1
HNRNPD	272.6
RPL14	2871.3
GUK1	110
KXD1	130.3
OAZ1	1210.3
ATP6V0B	199.9
KARS	459.2
H3F3AP4	2625.3
RPS6	4024.1
RPS7	2989.9
USP22	333.3
C11orf58	511.7
TCEB2	507.3
COX4I1	640.3
TMED2	985.3
NBEAL1	4388
SNORD18C	3808.9
FNTA	627.2
RPS25	2740.4
RPL37	7298.2
HINT1	805.2
EEF2	2102.7
RPS10	6550.3
ATP6V0E1	689.7
HNRNPK	521.6
ANAPC5	475.5
SNORD73A	4169.7
HNRNPU	483.2
