X	GSM49584
MIR4640	482.7
RFC2	35.3
HSPA6	38.5
PAX8	330.9
GUCA1A	9.4
MIR5193	150.7
THRA	54.4
PTPN21	40.7
CCL5	31
CYP2E1	27.1
EPHB3	56.3
ESRRA	132.5
CYP2A6	106
GAS6	297.5
MMP14	222.7
TRADD	115.8
CHURC1-FNTB	51
PLD1	31.1
DTX2P1-UPK3BP1-PMS2P11	560.6
BAD	58.9
PRPF8	235.9
CAPNS1	278.7
RPL35	1297.6
MIR6805	3493.6
EIF4G2	3791
EIF3D	168.6
PARK7	1545.3
SRP14	1308.2
GDI2	498.6
GDI2	819.3
RPL11	3466.5
ARF3	265.4
RPL21P28	1576.1
RPL24	3857
HNRNPC	649.8
SEPT2	1219.4
HNRNPA1P10	3660.2
RPS27A	4048.4
LOC100508408	3557
FAU	2192.2
TARDBP	575.3
CFL1	905.9
RPL18	2296.2
EIF3F	503.6
RPS5	940
RPL27	3098.3
RPL34	4933.5
NARS	496.8
STARD7	274.7
RPL19	3101.7
SLC25A3	1196.6
SNORD35B	5563.7
RPL9	3768.5
MIR5047	2715.6
RPL6	1896.8
CTDNEP1	112.4
RPL10A	859.1
CBX3	828.8
RPL17-C18orf32	3366.3
PSMB2	705.9
KHDRBS1	473.8
ATP6V1G2-DDX39B	392.5
RTCB	333.1
ERH	1034.1
GATC	428.7
ABCF1	156.4
DAD1	346.8
YY1	695.6
JTB	857.1
KAT7	176.1
ZNF146	377.1
SART1	71.5
ILF2	274.8
SPAG7	317
ZPR1	83.7
TAF10	190.1
C1D	92.6
NONO	732.7
LOC101929240	289.4
RHOA	1983.1
RNPS1	185.8
RPS24	5612.7
RPL30	3386.2
NPM1	2153.3
HSP90AB1	1407
MIR3620	489.4
IK	146.4
SNX3	474.4
CANX	2099.4
SART3	63.3
CNPPD1	42.9
SMNDC1	179.6
HNRNPM	519.9
HNRNPD	361.5
RPL14	1614.8
GUK1	110.4
KXD1	169.6
OAZ1	1627.9
ATP6V0B	348
KARS	341.5
H3F3AP4	1954.3
RPS6	3474
RPS7	1600.2
USP22	270
C11orf58	745
TCEB2	521.8
COX4I1	645.7
TMED2	1798.3
NBEAL1	3620.1
SNORD18C	1624
FNTA	697.7
RPS25	1971.4
RPL37	5411.4
HINT1	1124.5
EEF2	1011.8
RPS10	3051.6
ATP6V0E1	929.4
HNRNPK	725.5
ANAPC5	433.9
SNORD73A	4240.6
HNRNPU	464
HNRNPU	1128.9
EIF3A	344.8
EIF3A	126.6
EIF3A	60.9
MIR3652	651.3
MIR3652	3028.1
MSN	505.6
ACTN4	107.9
APP	295.5
PRKAR1A	1286.5
PRKAR1A	322.6
PRKAR1A	509.2
DSP	805.2
RAD21	353.1
RAD21	581.4
WDR1	608.6
NCL	593.3
WDR1	244
AP2B1	112.1
AP2M1	491.2
CLTC	2909.7
AP2B1	174
MLEC	108.1
MLEC	204.5
LASP1	310.8
SF3B2	68.4
TMEM59	1433.8
CSRP1	388.1
CALM3	170.2
CALM3	71.3
SNHG4	993.6
CAP1	545
SNHG4	629
PTGES3	2036.6
WARS	374.9
WARS	543.8
SETSIP	861.1
SETSIP	794.6
NDRG1	347
UBB	7939.9
PFN1	697.9
PTPRF	299
PTPRF	725
PTPRF	203.1
YWHAZ	1559.7
YWHAZ	436.1
YWHAZ	886.7
YWHAZ	1253.2
SOD1	1650.7
HDLBP	176.2
MARCKSL1	133.1
GABARAP	566.9
NUCB1	75.9
EIF3CL	301.4
GLUL	150.5
NUCB1	92.7
LDHA	4658.1
SNORD96A	1854.9
SSR2	871.2
CALM3	409
P4HB	2684.7
CALM3	810.2
P4HB	662.8
SLC25A5	502
PHB	263.5
PHB	94.4
S100A11	180.6
CTSA	129.8
TOMM20	975.7
CD63	2037.5
DNAJB1	97.1
SPARC	1460.2
DNAJB1	146.4
UBE2D3	619.2
UBE2D3	779.6
UBE2D3	517.7
XBP1	268.6
SPTBN1	68.5
SPTBN1	365.7
LAPTM4A	1741.4
RPL32	2965.3
CD81	645.7
UBE2L3	50.9
PTTG1IP	1896.2
GRN	465.5
HMGB1	310.8
HMGB1	1175.1
GLO1	348.9
UBE2L3	390.8
UBE2L3	116.4
UBE2L3	50.7
SRSF11	51.4
SRSF11	537.2
SF3B3	83.3
SF3B3	51.3
