GeneName;Column1;logCPM;F;Pvalue;FDR
SAA2;logFC;5,43E+14;5,12E+14;140,6545052;187773,7645
CCL20;3,13E+13;4,95E+14;4,48E+14;356,054631;2376664,662
IL36G;2,72E+13;4,36E+14;3,40E+14;235,9691913;10500629,01
INHBA;1,81E+14;6,51E+14;2,73E+14;10718,72399;35773741,32
TNFAIP3;1,60E+14;7,42E+14;2,63E+14;13589,66349;36284401,51
S100A8;1,86E+14;7,00E+14;2,56E+13;1670,489673;37168395,22
SAA1;2,21E+14;7,95E+14;2,43E+13;23470,06511;4042562,91
SPRR2D;2,97E+14;4,80E+14;2,42E+14;24225,09609;4042562,91
CFB;1,85E+14;5,88E+14;2,32E+14;32176,389;47728310,35
KRT6B;1,54E+14;7,71E+14;2,28E+14;36476,82447;48696560,67
CXCL1;1,41E+14;7,07E+14;2,18E+14;48504,83552;5886723,221
TNIP1;1,25E+14;8,45E+14;2,13E+14;57204,48262;61760832,7
C3;1,50E+14;8,89E+14;2,11E+14;6014,163484;61760832,7
ICAM1;1,85E+14;7,14E+14;2,05E+14;74421,96966;70966663,93
SOD2;1,51E+14;7,22E+14;1,88E+14;132541,6474;117962066,2
C15orf48;1,23E+13;6,07E+14;1,82E+13;165637,2033;138203541,5
IRF9;1,24E+14;5,67E+14;1,71E+14;241908,2208;174890786,2
CXCL5;3,46E+14;3,03E+14;1,71E+14;248785,0379;174890786,2
ZC3H12A;1,67E+13;6,03E+14;1,71E+14;251022,4488;174890786,2
LIF;1,30E+12;6,19E+14;1,69E+13;262008,6684;174890786,2
HBEGF;1,28E+14;6,21E+14;1,68E+14;280869,2219;178552576,8
S100A9;1,10E+13;9,85E+14;1,66E+14;303134,1216;183947296,5
IFI27;2,93E+14;4,61E+14;1,59E+14;401789,2864;227382622,4
RHCG;1,34E+14;6,36E+14;1,58E+14;40877,77482;227382622,4
SLC6A14;1,21E+14;6,96E+13;1,54E+14;495543,3217;264620133,8
MX1;2,52E+14;5,01E+14;1,52E+14;546218,2032;280462039
PGLYRP4;2,03E+14;3,00E+14;1,47E+14;666806,3432;329698691,9
IL6;2,92E+13;3,12E+14;1,46E+14;704100,6509;335705131,8
CSF3;4,80E+14;2,36E+14;1,38E+13;1027570,494;473036761,9
SPRR2E;3,57E+14;1,91E+14;1,35E+14;1177806,652;524123960,3
BIRC3;1,65E+14;4,35E+14;1,32E+14;1348329,657;536874998,9
SPRR2A;1,68E+14;5,26E+14;1,32E+14;1361366,069;536874998,9
IL1B;1,05E+14;8,36E+14;1,32E+14;1361624,916;536874998,9
PDZK1IP1;2,42E+14;3,34E+14;1,32E+14;1367322,095;536874998,9
IL32;1,21E+14;6,01E+14;1,28E+14;1604369,959;611952541,5
TNFAIP2;1,54E+14;5,78E+14;1,27E+13;1738490,41;6446901,936
IRAK2;1,59E+14;3,86E+14;1,25E+14;1897000,84;684458411,4
PLAT;1,39E+14;5,07E+14;1,24E+14;2011353,087;706620097,7
OAS1;1,69E+14;3,91E+14;1,19E+14;2641895,362;904341104,8
OAS2;1,26E+14;5,64E+14;1,15E+14;322449,7136;1076175919
OAS3;1,31E+14;6,20E+14;1,13E+14;3738651,513;1217341407
MMP9;2,27E+14;4,56E+14;1,05E+14;5875812,179;1867668871
HEPHL1;1,30E+14;4,12E+14;1,01E+13;7424858,321;2305159502
SERPINA3;1,46E+14;7,31E+14;9,99E+14;7974121,985;2419421102
NFKB2;9,60E+14;6,47E+13;9,74E+14;9315686,299;2763653602
MAFF;1,13E+14;5,08E+14;9,56E+14;10472840,1;3039400334
C1QTNF1;1,86E+14;3,09E+14;9,19E+14;13439564,26;3779461221
IER3;9,43E+14;8,56E+14;9,17E+14;13589074,05;3779461221
CSF2;2,99E+13;1,91E+14;8,70E+14;18877490,04;5086191571
CXCL2;1,38E+14;5,47E+14;8,69E+14;19049406,63;5086191571
NFKBIA;8,85E+14;7,43E+14;8,64E+14;19665970,57;5147857002
NFKBIZ;9,00E+14;6,43E+14;8,52E+14;21497708,1;5519123137
BPGM;9,48E+14;5,95E+14;7,92E+13;3369258,747;8486717788
CXCL3;2,24E+14;3,56E+14;7,63E+14;42182146,48;1,04E+14
BCL2A1;2,25E+14;2,39E+14;7,24E+14;57940061,67;1,39E+14
IL1A;1,06E+14;7,30E+13;7,23E+14;58370448,13;1,39E+14
KRT15;-9,45E+14;9,63E+14;7,12E+14;63868166,77;1,50E+14
IFITM1;1,61E+14;3,15E+14;7,04E+14;68899264,07;1,59E+14
XAF1;2,54E+13;2,87E+14;6,96E+14;73285996,38;1,66E+14
OLFML2A;-9,64E+14;4,95E+14;6,70E+14;92424449;2,06E+14
IVL;1,03E+12;7,33E+13;6,34E+14;127589072,8;2,79E+14
G0S2;8,30E+14;7,51E+14;6,13E+14;156650587,1;3,37E+13
MXRA5;-9,17E+14;5,76E+14;5,88E+14;199537809,8;4,23E+14
EFNA1;7,18E+13;6,61E+14;5,86E+14;203340171,5;4,24E+14
SERPINB1;7,22E+13;7,08E+14;5,83E+14;209592705,3;4,30E+14
IFITM10;-1,58E+14;3,86E+14;5,80E+14;215234487,2;4,35E+14
IFI6;2,41E+14;3,97E+14;5,73E+14;231212423,6;4,61E+14
TGM1;7,85E+14;5,95E+14;5,61E+14;261490866,3;5,13E+14
TFCP2L1;-6,42E+14;6,64E+14;5,58E+14;270263586;5,19E+14
EDN1;1,05E+14;4,27E+14;5,57E+14;272131048,4;5,19E+14
VNN1;1,88E+14;1,94E+14;5,49E+14;296021705,8;5,50E+14
PI3;1,80E+14;2,47E+14;5,49E+14;296891447,4;5,50E+14
THBD;-9,93E+14;4,93E+14;5,47E+14;301831637,9;5,52E+14
IFI44;8,74E+14;4,41E+14;5,45E+14;308146063,5;5,56E+14
PDGFB;1,01E+14;4,10E+14;5,40E+14;324762319,2;5,78E+14
TSC22D3;-7,27E+14;5,64E+14;5,30E+14;363210823,7;6,38E+14
S100P;6,82E+13;5,69E+14;5,29E+14;367758080,5;6,38E+14
GPNMB;-8,08E+14;7,27E+14;5,13E+14;43647769,57;7,47E+14
XDH;7,21E+14;5,70E+14;4,87E+13;587202615,4;9,92E+13
TUBA1C;6,56E+14;8,05E+14;4,82E+14;618346710;1,03E+14
PLSCR1;8,38E+14;5,05E+14;4,78E+14;652397719,2;1,08E+13
CLCA2;-5,52E+14;8,22E+14;4,60E+14;799389921,7;1,30E+14
METTL7A;-1,04E+13;3,50E+14;4,58E+14;827146873,6;1,30E+14
COL8A1;6,53E+14;5,69E+14;4,57E+14;832523236,3;1,30E+14
MYLK;-1,46E+14;2,75E+14;4,56E+14;84403956,52;1,30E+14
PARP12;7,72E+14;4,73E+13;4,56E+14;845491625;1,30E+14
ADRB2;6,92E+14;5,48E+13;4,55E+14;850205674,8;1,30E+14
STC1;7,31E+14;5,74E+14;4,51E+13;898725245,8;1,34E+14
SOCS3;1,03E+14;3,84E+14;4,50E+13;90304729,55;1,34E+14
NEDD9;6,30E+14;6,08E+14;4,50E+14;905948253,1;1,34E+14
IFI44L;2,35E+14;3,39E+14;4,47E+14;939683755,9;1,38E+14
MX2;2,25E+14;2,30E+14;4,42E+14;1000524749;1,45E+14
PARP9;6,57E+14;6,02E+14;4,40E+14;1029350934;1,48E+14
TNFSF14;1,97E+14;1,38E+14;4,39E+14;1039040128;1,48E+14
KYNU;8,30E+14;6,58E+14;4,36E+14;1084655671;1,52E+14
TNF;1,79E+14;1,53E+14;4,30E+14;1157565416;1,61E+14
DRAM1;6,92E+14;5,41E+14;4,24E+14;1263154517;1,74E+14
VTCN1;-1,09E+14;3,77E+14;4,23E+13;1276705211;1,74E+14
MMP1;7,59E+14;5,27E+14;4,19E+14;1336459688;1,80E+14
RHOV;6,62E+14;5,28E+14;4,15E+14;1415935741;1,89E+14
MAF;-8,49E+13;5,81E+14;4,10E+14;1507700493;1,99E+14
ITGB3;1,19E+14;2,81E+14;4,08E+13;1554529211;2,03E+13
CXCL14;-1,46E+14;2,92E+14;4,05E+14;1622134570;2,10E+14
PLAU;5,37E+14;9,61E+14;4,02E+14;1675679499;2,15E+13
RND1;1,51E+14;2,12E+14;3,99E+14;1746324314;2,22E+14
DUSP4;6,35E+14;6,71E+14;3,98E+14;1774467522;2,23E+14
KRT24;1,79E+14;1,51E+14;3,97E+14;179183730,4;2,24E+13
TGM2;7,10E+14;7,97E+14;3,94E+14;1867068543;2,31E+14
SLPI;5,71E+14;6,96E+14;3,92E+14;1927427101;2,36E+14
S100A7;4,17E+14;5,87E+14;3,86E+14;2078386668;2,52E+14
IFITM3;7,69E+14;7,31E+14;3,82E+14;2197941844;2,64E+14
MYEOV;1,28E+14;2,44E+14;3,79E+14;2299816231;2,74E+14
FOSL1;5,82E+14;6,48E+14;3,72E+14;2523881347;2,98E+14
CYP27B1;1,19E+14;2,83E+14;3,69E+14;2637171812;3,09E+14
VNN3;2,68E+14;3,19E+14;3,57E+14;3122918379;3,58E+14
TUBA1A;5,50E+14;8,92E+14;3,57E+14;3137993162;3,58E+14
ITGA5;5,04E+13;8,56E+14;3,57E+14;3161853720;3,58E+14
ADAM8;1,01E+14;3,91E+14;3,57E+14;3165671216;3,58E+14
MAP7D2;-1,41E+14;2,04E+14;3,53E+14;3355241054;3,76E+14
EPHA4;-8,36E+14;3,64E+14;3,48E+12;361690045,8;4,02E+14
PBX1;-6,71E+14;4,65E+14;3,46E+14;3679092382;4,06E+13
ZBED2;6,05E+13;6,23E+13;3,45E+14;3758293323;4,11E+13
KRT4;1,01E+14;4,76E+14;3,42E+14;390520591,8;4,24E+13
PLAUR;6,73E+14;5,53E+14;3,40E+14;4062248293;4,36E+14
PPARGC1A;-1,05E+14;2,54E+13;3,39E+14;4082219421;4,36E+14
IRF7;1,56E+14;2,09E+14;3,38E+14;4201999357;4,45E+14
FEZ1;6,22E+14;6,25E+14;3,36E+14;4293633068;4,51E+14
STAT1;5,14E+14;7,03E+14;3,34E+14;4455743468;4,61E+14
IFIH1;6,65E+14;4,49E+14;3,33E+14;4474361101;4,61E+14
ALOX15B;5,49E+14;6,73E+14;3,33E+14;4488427448;4,61E+14
PCDH7;-6,28E+14;5,15E+14;3,32E+14;4577663285;4,67E+14
DUSP10;-5,69E+14;6,05E+14;3,31E+14;4646112117;4,67E+14
GJB2;4,77E+13;7,54E+14;3,31E+14;4671049231;4,67E+14
CPA4;-5,07E+14;7,68E+14;3,30E+14;4687220578;4,67E+14
ASS1;5,03E+14;6,78E+14;3,28E+14;4853800908;4,77E+14
SERPINB2;6,97E+14;8,13E+14;3,28E+14;4879430081;4,77E+14
MAP3K8;1,05E+14;2,44E+14;3,27E+14;4926344869;4,77E+14
PROS1;-6,66E+14;4,63E+13;3,27E+14;4934723523;4,77E+14
BMP2;7,76E+14;4,19E+14;3,26E+14;4986271002;4,79E+14
SLITRK6;-6,12E+13;5,76E+14;3,24E+14;5188921591;4,95E+14
RHOF;7,72E+14;5,02E+14;3,21E+14;5466171048;5,18E+14
NFKB1;4,98E+14;6,30E+13;3,18E+14;5700549979;5,36E+14
PRDM1;7,00E+14;4,18E+14;3,17E+14;5743861994;5,36E+14
NID1;-1,26E+13;2,52E+14;3,16E+14;58819312,01;5,40E+14
KCTD11;4,45E+14;8,23E+13;3,16E+14;5907691525;5,40E+14
EHD1;6,31E+14;6,13E+14;3,16E+14;5908731936;5,40E+14
TRIML2;1,41E+14;1,95E+14;3,09E+14;6552113183;5,89E+14
CSTB;6,43E+14;9,83E+14;3,09E+14;6556375879;5,89E+14
TYMP;1,03E+14;4,80E+14;3,09E+14;6577412316;5,89E+14
SLC25A37;6,13E+14;5,01E+14;3,08E+14;666428019,8;5,91E+14
ENDOD1;-4,80E+14;6,88E+14;3,08E+14;6689161932;5,91E+14
KRT23;5,78E+14;6,09E+14;3,05E+14;7025755555;6,15E+14
CD109;-4,57E+14;8,87E+14;3,05E+14;7053847802;6,15E+14
TUBB3;6,51E+14;7,79E+14;3,03E+14;7208629648;6,22E+14
CDC42EP2;7,26E+14;4,74E+14;3,03E+14;7257900121;6,22E+14
IKBKE;6,97E+14;4,68E+14;3,03E+14;7271768796;6,22E+14
VAV3;-6,50E+14;4,96E+14;3,02E+14;7346282393;6,25E+14
MRGPRX3;1,91E+14;1,03E+14;3,01E+14;7545468547;6,38E+14
HCAR3;6,14E+14;5,15E+14;2,98E+14;7907874719;6,64E+14
ATG9B;-1,15E+14;2,30E+14;2,96E+14;810166697,1;6,76E+14
TNC;5,45E+14;7,79E+14;2,96E+14;8156608574;6,76E+13
PRSS23;-4,65E+14;8,52E+14;2,93E+14;8511214072;7,00E+14
WWC1;4,90E+14;6,19E+14;2,93E+14;8542230357;7,00E+14
VEGFA;4,35E+14;7,92E+14;2,92E+14;8724014139;7,10E+14
RAB15;-7,32E+13;3,72E+14;2,88E+14;9392211476;7,55E+14
SESN3;-7,54E+14;6,58E+13;2,88E+14;9392806572;7,55E+14
AQP3;-5,03E+14;7,28E+14;2,86E+14;9737709261;7,78E+14
KRT17;4,64E+14;1,16E+14;2,84E+14;1,00E+13;7,98E+14
GULP1;-8,68E+14;3,59E+14;2,80E+14;1,08E+14;8,53E+14
IRF2BPL;-7,58E+14;3,70E+14;2,79E+14;1,10E+14;8,60E+14
STON1;-1,52E+14;1,23E+14;2,77E+13;1,13E+14;8,77E+14
BST2;1,30E+14;2,14E+14;2,77E+14;1,13E+14;8,77E+14
OTUB2;6,17E+14;5,30E+14;2,74E+13;1,20E+14;9,23E+14
MN1;-6,24E+14;4,37E+14;2,73E+14;1,21E+14;9,25E+14
CTSH;-5,44E+14;6,64E+14;2,69E+13;1,29E+14;9,81E+14
NANOS1;-1,52E+14;1,40E+14;2,69E+12;1,30E+14;9,81E+14
IL6R;-5,99E+14;5,64E+14;2,69E+14;1,30E+14;9,81E+14
LTB;1,60E+14;1,10E+14;2,68E+14;1,32E+14;9,88E+14
SAMHD1;7,89E+14;3,92E+14;2,67E+14;1,36E+14;1,01E+14
DTX2;7,83E+14;6,60E+13;2,66E+14;1,37E+13;1,02E+14
LCN2;7,07E+14;8,90E+14;2,66E+14;1,38E+14;1,02E+13
CXCL16;5,05E+14;6,24E+14;2,65E+14;1,39E+14;1,02E+14
DEK;-4,35E+14;6,51E+13;2,65E+14;1,41E+14;1,03E+14
CXCL6;1,73E+14;1,34E+14;2,61E+14;1,49E+14;1,08E+14
ADD3;-4,69E+14;6,82E+13;2,58E+13;1,57E+14;1,13E+14
TCN1;-7,02E+14;3,93E+14;2,58E+14;1,58E+14;1,13E+14
HDGF;3,99E+14;9,43E+14;2,58E+14;1,59E+14;1,13E+14
ZNF488;-1,15E+14;1,84E+14;2,57E+14;1,63E+14;1,16E+14
PADI3;-6,48E+14;5,03E+14;2,54E+14;1,72E+14;1,21E+14
FDPS;4,75E+13;8,50E+13;2,54E+14;1,72E+14;1,21E+14
FGF1;-8,15E+14;3,60E+14;2,53E+14;1,73E+14;1,21E+14
S100A12;1,23E+14;2,12E+14;2,53E+14;1,74E+14;1,21E+14
TCF4;-5,76E+13;4,82E+14;2,53E+14;1,74E+14;1,21E+14
BCL3;7,19E+14;4,77E+14;2,52E+14;1,78E+14;1,23E+14
NEURL1B;4,75E+14;5,72E+14;2,51E+14;1,81E+14;1,24E+13
SERPINB13;-7,33E+14;6,44E+14;2,46E+14;1,98E+14;1,35E+14
F3;4,04E+14;9,89E+14;2,46E+14;2,00E+13;1,35E+14
PTPRZ1;-7,15E+14;3,41E+14;2,46E+14;2,00E+13;1,35E+14
EFCAB7;-7,49E+14;3,60E+14;2,45E+14;2,01E+14;1,35E+14
SAMD4A;4,82E+14;5,76E+14;2,45E+14;2,04E+14;1,36E+14
ANGPTL4;5,21E+13;8,35E+13;2,43E+14;2,09E+14;1,38E+14
NCCRP1;5,48E+14;5,48E+14;2,42E+14;2,12E+14;1,40E+14
SPRR1A;7,36E+14;4,10E+14;2,42E+13;2,13E+14;1,40E+14
POU2F2;7,14E+14;3,63E+14;2,39E+14;2,25E+13;1,47E+14
TNFRSF10A;4,84E+14;5,28E+14;2,39E+14;2,28E+14;1,48E+14
BLNK;-6,33E+14;3,77E+14;2,38E+14;2,32E+14;1,50E+14
TP53INP1;-5,63E+14;5,96E+14;2,37E+13;2,34E+14;1,51E+14
RPL9;-4,39E+14;9,88E+13;2,37E+14;2,36E+14;1,51E+14
LRMP;-8,74E+13;2,85E+14;2,35E+14;2,47E+14;1,58E+14
SPTLC3;-6,31E+14;3,92E+14;2,33E+14;2,56E+14;1,63E+14
ALDH3A1;-6,39E+14;5,98E+14;2,32E+14;2,60E+14;1,65E+14
CRCT1;9,83E+14;3,12E+14;2,30E+14;2,71E+14;1,71E+14
PDCD4;-4,09E+14;8,41E+14;2,28E+14;2,79E+12;1,75E+14
ALDH1A3;3,97E+14;1,01E+14;2,27E+14;2,88E+14;1,79E+13
IDI1;4,03E+14;7,43E+14;2,27E+14;2,89E+14;1,79E+13
STAT5A;1,11E+14;2,26E+14;2,26E+14;2,92E+14;1,80E+14
DTX3L;4,21E+13;5,97E+14;2,25E+14;2,96E+13;1,82E+14
BID;5,40E+14;4,72E+13;2,25E+14;3,01E+14;1,85E+14
CCDC14;-4,62E+14;5,44E+14;2,24E+14;3,04E+14;1,85E+14
GBP5;1,85E+14;1,21E+13;2,21E+14;3,24E+14;1,97E+14
IL7R;8,74E+13;3,08E+14;2,20E+14;3,29E+14;1,99E+14
SOX6;-9,03E+14;2,64E+14;2,20E+14;3,34E+14;2,00E+14
SMTN;6,25E+14;6,65E+14;2,19E+13;3,35E+14;2,00E+14
HSD11B1;5,05E+14;6,47E+14;2,19E+14;3,35E+14;2,00E+14
EPSTI1;1,04E+14;2,90E+14;2,18E+14;3,42E+14;2,03E+14
SGPP2;8,01E+14;2,85E+13;2,16E+14;3,56E+14;2,10E+14
FAM167A;1,10E+14;1,92E+14;2,16E+14;3,56E+14;2,10E+14
TRAF3;4,97E+14;5,44E+14;2,15E+14;3,63E+14;2,12E+14
FAM83A;3,73E+14;9,13E+13;2,15E+14;3,64E+14;2,12E+14
CDH10;-9,83E+14;2,09E+14;2,14E+13;3,72E+14;2,16E+14
PTAFR;3,94E+14;7,11E+14;2,14E+14;3,75E+14;2,17E+14
TUBB4B;4,17E+14;8,73E+14;2,13E+14;3,85E+14;2,21E+13
TUBA4A;4,23E+14;9,15E+13;2,11E+14;3,97E+14;2,28E+14
HMGN2P46;2,95E+14;-1,56E+14;2,10E+14;4,07E+14;2,32E+14
FKBP5;-4,44E+14;7,44E+14;2,10E+14;4,10E+14;2,33E+14
LDLR;3,87E+14;8,97E+14;2,09E+14;4,12E+14;2,33E+14
ETS1;4,91E+14;6,67E+14;2,09E+14;4,19E+14;2,36E+14
PLA2G4E;4,46E+14;-7,82E+14;2,08E+14;4,25E+14;2,37E+14
SH3RF2;4,27E+14;5,72E+14;2,08E+14;4,25E+14;2,37E+14
CDCP1;3,65E+14;8,29E+14;2,06E+14;4,42E+12;2,46E+14
RAB30;-7,19E+14;3,28E+14;2,04E+14;4,61E+13;2,55E+14
TUBA1B;4,49E+14;8,94E+14;2,04E+14;4,63E+14;2,55E+14
FXYD5;4,07E+13;9,27E+14;2,04E+14;4,66E+14;2,56E+14
USB1;4,05E+14;6,64E+14;2,03E+14;4,77E+14;2,61E+14
NRCAM;9,65E+14;2,14E+14;2,02E+14;4,82E+14;2,61E+14
TLR2;1,02E+14;3,19E+14;2,02E+14;4,82E+14;2,61E+14
HAS3;3,71E+14;7,29E+14;2,01E+14;4,91E+13;2,65E+14
FAT2;-3,78E+14;8,93E+14;2,01E+13;4,97E+14;2,68E+14
LY6D;-6,91E+14;4,26E+14;2,00E+14;5,04E+14;2,70E+14
FLNB;3,71E+14;1,06E+14;2,00E+14;5,07E+14;2,71E+14
RFTN1;4,72E+14;5,12E+14;1,99E+14;5,20E+11;2,77E+14
NR2F2;-4,27E+13;7,44E+14;1,98E+14;5,26E+14;2,78E+14
HYI;5,07E+14;4,81E+14;1,98E+14;5,26E+14;2,78E+14
ANXA3;4,36E+14;8,48E+14;1,97E+14;5,41E+14;2,84E+14
DBP;-7,26E+14;2,87E+14;1,96E+14;5,49E+14;2,86E+14
FOXO1;-5,38E+14;4,70E+14;1,96E+14;5,50E+14;2,86E+14
SPARC;-4,25E+14;6,34E+14;1,96E+14;5,50E+14;2,86E+14
P2RY6;1,14E+14;1,83E+14;1,95E+13;5,59E+14;2,89E+14
RBM20;-1,55E+14;8,04E+14;1,95E+14;5,61E+14;2,89E+14
KCNMA1;-4,72E+14;5,06E+14;1,94E+14;5,73E+14;2,94E+14
CES1P1;2,89E+14;-1,81E+14;1,94E+14;5,77E+14;2,95E+14
MCOLN3;-6,04E+14;3,99E+14;1,94E+14;5,80E+13;2,95E+14
DST;-4,03E+14;1,05E+14;1,93E+14;5,84E+14;2,97E+14
RELB;8,72E+14;3,21E+14;1,93E+14;5,93E+14;3,00E+14
WNT7A;5,30E+14;5,29E+14;1,92E+14;6,07E+14;3,06E+14
TAP1;4,12E+14;5,61E+14;1,91E+14;6,12E+14;3,07E+14
HELZ2;1,01E+14;3,89E+14;1,91E+14;6,18E+14;3,09E+14
CYP4F3;-1,09E+13;2,30E+14;1,89E+14;6,45E+14;3,21E+14
SLC26A2;-4,87E+14;4,75E+14;1,89E+14;6,49E+14;3,22E+14
PTGS2;5,32E+14;4,92E+14;1,87E+14;6,69E+14;3,30E+14
PRKACB;-6,27E+14;3,51E+14;1,87E+14;6,69E+14;3,30E+14
ZSWIM4;5,36E+14;5,08E+14;1,86E+14;6,84E+13;3,36E+14
SLC43A3;4,81E+14;4,76E+14;1,86E+14;6,88E+14;3,36E+14
HSD17B3;-9,86E+14;2,04E+14;1,85E+14;7,06E+14;3,44E+13
EPHA2;4,81E+14;7,63E+14;1,84E+14;7,22E+14;3,51E+14
CREG2;-8,97E+13;2,65E+14;1,83E+14;7,34E+14;3,55E+14
FAT4;-5,21E+14;4,33E+14;1,82E+14;7,47E+14;3,60E+13
CKAP2;-4,12E+14;6,55E+14;1,81E+14;7,67E+14;3,68E+14
NR1D2;-5,42E+14;4,55E+14;1,80E+14;7,83E+14;3,75E+14
IFIT3;7,21E+13;4,73E+14;1,80E+14;7,90E+14;3,77E+14
MMP13;1,06E+14;2,38E+13;1,80E+14;7,94E+14;3,77E+14
NRP1;-3,82E+13;6,38E+13;1,79E+14;8,00E+11;3,79E+14
NT5DC3;-4,85E+14;5,01E+14;1,79E+14;8,03E+14;3,79E+14
B4GALT1;3,36E+14;9,57E+14;1,78E+14;8,26E+14;3,88E+14
EXTL2;-7,75E+14;2,64E+14;1,78E+14;8,35E+14;3,91E+14
CDA;4,84E+14;6,14E+14;1,77E+14;8,53E+14;3,98E+13
CD86;-9,72E+14;1,69E+13;1,76E+14;8,64E+14;4,01E+14
KRT75;1,18E+14;1,47E+13;1,76E+12;8,65E+14;4,01E+14
OSBP2;6,54E+14;3,24E+14;1,75E+14;8,81E+14;4,07E+14
EGFL6;-6,04E+14;3,60E+13;1,75E+14;8,86E+14;4,07E+14
GCLC;-3,64E+14;7,29E+14;1,75E+14;8,88E+14;4,07E+14
GBP6;-3,83E+14;7,02E+14;1,75E+14;8,91E+14;4,07E+14
HK2;3,47E+14;7,12E+14;1,74E+14;8,97E+14;4,09E+14
NCF2;4,90E+14;5,01E+14;1,74E+14;9,07E+14;4,12E+13
FLRT3;-4,74E+14;5,62E+14;1,73E+14;9,20E+13;4,16E+14
CTDSPL;-3,81E+14;6,47E+14;1,73E+14;9,39E+14;4,22E+14
SLC11A2;4,23E+14;5,70E+14;1,73E+14;9,39E+14;4,22E+14
LAMB3;36792477309;1,11E+14;1,71E+14;9,63E+14;4,32E+14
SEMA7A;4,93E+13;5,57E+14;1,71E+14;9,71E+14;4,34E+14
SYTL5;-7,26E+14;2,64E+14;1,71E+14;9,81E+14;4,37E+14
LCA5;-5,74E+14;3,83E+14;1,70E+13;9,90E+14;4,39E+14
IRAK3;7,30E+14;3,33E+13;1,70E+14;9,97E+14;4,41E+14
CDC25B;4,65E+13;4,82E+14;1,70E+14;1,00E+15;4,41E+14
MTUS1;-4,01E+14;6,59E+14;1,68E+14;1,03E+14;4,54E+13
SLAMF7;-5,79E+14;4,35E+14;1,68E+14;1,04E+14;4,54E+14
PPP1R15A;3,67E+14;7,42E+14;1,68E+14;1,04E+14;4,54E+14
CD82;4,44E+14;7,09E+14;1,68E+14;1,05E+12;4,55E+14
CENPF;-5,09E+14;5,62E+14;1,67E+14;1,06E+14;4,61E+14
FAM129A;-4,51E+14;5,25E+14;1,67E+14;1,08E+14;4,67E+14
MGC12916;1,47E+13;7,21E+14;1,66E+14;1,10E+14;4,74E+14
SMAD3;3,47E+14;8,18E+14;1,66E+14;1,10E+14;4,74E+14
PPDPF;-4,57E+14;7,12E+14;1,66E+14;1,11E+14;4,75E+14
ERRFI1;3,75E+14;7,45E+13;1,65E+13;1,12E+14;4,78E+14
ACSL1;-3,38E+13;6,75E+14;1,65E+14;1,12E+14;4,78E+14
PRSS3;7,24E+14;3,14E+14;1,65E+14;1,13E+14;4,81E+14
MIR221;-1,06E+14;1,90E+14;1,64E+14;1,15E+14;4,85E+14
ACTN1;4,65E+14;9,61E+14;1,64E+14;1,16E+14;4,88E+14
MFSD2A;4,81E+14;5,20E+14;1,63E+14;1,18E+14;4,93E+14
DTD2;-6,05E+13;3,58E+14;1,62E+14;1,21E+14;5,05E+14
TIMP3;-3,47E+14;7,82E+14;1,62E+14;1,21E+14;5,05E+14
IFNGR1;4,05E+14;6,54E+14;1,61E+14;1,23E+14;5,11E+14
ZCCHC10;-5,20E+14;4,10E+13;1,61E+14;1,23E+14;5,11E+14
DDIT4L;2,86E+14;-7,02E+13;1,61E+14;1,24E+14;5,12E+14
CALML3;-8,39E+14;5,60E+14;1,61E+14;1,25E+14;5,14E+14
PRELID1;4,45E+14;7,14E+14;1,61E+14;1,25E+14;5,14E+14
SLAMF9;6,09E+14;3,65E+13;1,60E+14;1,26E+13;5,16E+14
TUBB;3,72E+14;9,93E+14;1,60E+14;1,28E+14;5,23E+13
TFPI2;3,40E+14;6,61E+13;1,59E+14;1,29E+14;5,25E+14
PTPRQ;-3,63E+14;-1,23E+14;1,59E+14;1,29E+14;5,25E+14
NAMPT;4,07E+14;7,82E+14;1,58E+14;1,34E+14;5,42E+14
UBE2L6;3,99E+14;5,84E+14;1,58E+14;1,34E+14;5,42E+14
GPSM2;-5,08E+14;4,95E+14;1,58E+14;1,35E+14;5,43E+14
NMRK1;-5,14E+14;4,36E+14;1,57E+14;1,38E+14;5,53E+14
HERC6;4,48E+14;4,61E+14;1,56E+13;1,40E+13;5,58E+14
ADAM32;-1,96E+14;-2,79E+14;1,56E+14;1,40E+14;5,58E+14
CHST2;8,60E+14;2,01E+14;1,55E+14;1,43E+14;5,69E+14
ADAM28;4,13E+14;5,29E+14;1,55E+14;1,44E+14;5,70E+14
ZC3H12C;5,39E+14;4,27E+14;1,55E+14;1,44E+14;5,70E+14
PDK4;-1,51E+14;1,10E+14;1,55E+14;1,45E+14;5,70E+14
STK25;4,39E+14;6,50E+14;1,55E+14;1,45E+14;5,70E+14
GABRP;4,62E+14;4,28E+14;1,55E+13;1,46E+14;5,70E+14
SLC25A28;4,06E+14;5,12E+14;1,54E+14;1,47E+14;5,75E+14
C1S;7,89E+14;3,60E+14;1,53E+14;1,50E+14;5,84E+14
TLCD1;6,36E+14;3,80E+14;1,53E+14;1,50E+14;5,84E+14
CENPA;-9,49E+13;1,54E+14;1,53E+14;1,53E+14;5,88E+13
FST;3,87E+14;5,94E+14;1,53E+14;1,53E+14;5,88E+13
IFIT1;8,16E+14;3,86E+14;1,53E+14;1,53E+14;5,88E+13
MUC20;-5,43E+14;6,62E+14;1,53E+14;1,53E+14;5,88E+13
