X	GSM49607
MIR4640	202.7
RFC2	16.5
HSPA6	109.8
PAX8	432.6
GUCA1A	60.3
MIR5193	170.3
THRA	133.9
PTPN21	59.4
CCL5	57.9
CYP2E1	50.3
EPHB3	25.6
ESRRA	146.6
CYP2A6	180.8
GAS6	634.1
MMP14	370.3
TRADD	107.2
CHURC1-FNTB	17.2
PLD1	83.5
DTX2P1-UPK3BP1-PMS2P11	308.6
BAD	10.7
PRPF8	44
CAPNS1	52.6
RPL35	639.5
MIR6805	3335.6
EIF4G2	3115.3
EIF3D	296.4
PARK7	743.7
SRP14	871.6
GDI2	291.1
GDI2	897.7
RPL11	2099.6
ARF3	236.7
RPL21P28	6803.9
RPL24	3782.5
HNRNPC	420.6
SEPT2	894.4
HNRNPA1P10	2433.3
RPS27A	4472.6
LOC100508408	3892.7
FAU	1571.6
TARDBP	320.2
CFL1	824.1
RPL18	2169.3
EIF3F	457.4
RPS5	713
RPL27	3329.6
RPL34	5690.9
NARS	334.9
STARD7	164.6
RPL19	2387.2
SLC25A3	808.5
SNORD35B	6763.4
RPL9	6720.1
MIR5047	2327.8
RPL6	3787.2
CTDNEP1	180.7
RPL10A	874.1
CBX3	465.9
RPL17-C18orf32	6178.9
PSMB2	183.3
KHDRBS1	226.5
ATP6V1G2-DDX39B	234.6
RTCB	250.1
ERH	394.3
GATC	33.7
ABCF1	180.2
DAD1	218.2
YY1	488.4
JTB	206.5
KAT7	294.2
ZNF146	198
SART1	138.9
ILF2	167.2
SPAG7	275.8
ZPR1	65.7
TAF10	256.6
C1D	69.3
NONO	445.1
LOC101929240	210
RHOA	706
RNPS1	146.1
RPS24	5807.9
RPL30	4440.4
NPM1	1886.2
HSP90AB1	789.3
MIR3620	201.6
IK	214.4
SNX3	455.4
CANX	758.2
SART3	86.7
CNPPD1	68.8
SMNDC1	95.2
HNRNPM	219
HNRNPD	274.2
RPL14	1221.5
GUK1	50.4
KXD1	180.5
OAZ1	1319.1
ATP6V0B	281.4
KARS	224
H3F3AP4	766.6
RPS6	2739.8
RPS7	1071.8
USP22	271.8
C11orf58	318.2
TCEB2	256.7
COX4I1	428.2
TMED2	478.3
NBEAL1	3309.9
SNORD18C	2051.2
FNTA	302.1
RPS25	1725.6
RPL37	7189.3
HINT1	489.1
EEF2	1325.8
RPS10	3338.2
ATP6V0E1	409.5
HNRNPK	473
ANAPC5	158
SNORD73A	9470.5
HNRNPU	344.7
HNRNPU	553.9
EIF3A	231.5
EIF3A	17.7
EIF3A	153.9
MIR3652	206.4
MIR3652	1399.7
MSN	217.3
ACTN4	26.3
APP	153.4
PRKAR1A	710
PRKAR1A	75.8
PRKAR1A	165.9
DSP	118.3
RAD21	66
RAD21	101
WDR1	384.3
NCL	494.5
WDR1	84.4
AP2B1	158.9
AP2M1	79.6
CLTC	1410.6
AP2B1	120.2
MLEC	14
MLEC	340.6
LASP1	318.2
SF3B2	16.7
TMEM59	1159.5
CSRP1	391.2
CALM3	46.9
CALM3	19.1
SNHG4	236.9
CAP1	311.3
SNHG4	214.5
PTGES3	619.2
WARS	26.5
WARS	274.3
SETSIP	647.1
SETSIP	606.3
NDRG1	836.4
UBB	2679.2
PFN1	326.5
PTPRF	15.1
PTPRF	119.5
PTPRF	3.4
YWHAZ	248.1
YWHAZ	297.6
YWHAZ	432.1
YWHAZ	182
SOD1	491.1
HDLBP	169.8
MARCKSL1	182.7
GABARAP	349.6
NUCB1	54.9
EIF3CL	214.8
GLUL	171.2
NUCB1	27.9
LDHA	1708.6
SNORD96A	1465.6
SSR2	414.2
CALM3	417.8
P4HB	162
CALM3	856.4
P4HB	131.7
SLC25A5	470.7
PHB	59.3
PHB	30.4
S100A11	202.5
CTSA	12.8
TOMM20	349.5
CD63	1549.5
DNAJB1	28.8
SPARC	932.5
DNAJB1	237.7
UBE2D3	496.7
UBE2D3	371.9
UBE2D3	300.9
XBP1	459.2
SPTBN1	4.5
SPTBN1	173.2
LAPTM4A	1524.6
RPL32	4194
CD81	345.6
UBE2L3	26.3
PTTG1IP	430.5
GRN	318.9
HMGB1	160.4
HMGB1	592.6
GLO1	308.9
UBE2L3	237.7
UBE2L3	81.8
UBE2L3	70.6
SRSF11	92.3
SRSF11	201.9
SF3B3	41
SF3B3	195.7
MIR3654	1850.7
HSPA9	56.7
HSPA9	177.9
HSPA9	219
YWHAQ	431.6
DDX24	340.9
PPP2R1A	206.1
GSN	2106
HK1	82.8
KDELR2	247.2
KDELR2	260.6
KDELR2	299.3
NPC2	579.7
DDX24	8.7
DYNLL1	350.7
LITAF	1203.8
SNORA41	2225.3
LITAF	142.5
PRKCSH	21
GOT2	164.1
LOC101929368	621.8
ACADVL	307.1
SKP1	323.9
MAPRE1	137.3
MAPRE1	355.6
OS9	377.8
SNORD32A	1182.1
RPL13AP5	4644.5
RPL7	14912.9
SKP1	1453.6
SKP1	100.8
ACTR1A	96.6
ACTR1A	49.2
CAPRIN1	56.4
CAPRIN1	137.5
SNORA70	64.6
SNORA70	2700
PPP1CC	380.5
ACTR2	88.2
ACTR2	394.1
ACTR2	73
PTP4A1	79.2
PTP4A1	183.2
PTP4A1	410.5
PTP4A1	109.9
ARF3	41.5
NACA	2677.3
GPX1	175.6
PGK1	137.5
PGK1	548.9
SUMO3	36.2
SUMO3	234.8
RPS27	4489.5
TPP1	153
TPP1	304.6
GNB1	70.7
GNB1	124.2
GNB1	275.2
NUMA1	46.3
FTH1	2877
RAN	143.4
RAN	338.2
HNRNPC	138.1
CAPN1	67.7
MIR636	200
MIR636	1207.5
CALU	12.5
CALU	17.8
CALU	281.5
NFE2L1	32.2
NFE2L1	615.5
ARL6IP5	214.8
ARL6IP5	782.5
DPYSL2	504.5
RPLP1	2846.6
CTNNA1	209.4
CTNNA1	273.2
CTSD	34.2
FAM120A	74.3
MAT2A	1392.6
MAT2A	40.5
LAMC1	91.5
LAMC1	500.1
LOC100506248	1111.5
PTMA	1264.7
FAM120A	326.5
HNRNPK	242.7
BZW1	263.9
BZW1	311.2
SEPT2	193.2
ATF4	1278.2
GNAS	1034.9
RPS15A	7039.3
ANXA5	417.8
STMN1	145.8
LRP1	19.9
LRP1	154.5
PSMB7	200.2
PEA15	203.5
PEA15	558.7
ECH1	146.8
ODC1	373.3
IQGAP1	204.6
XRCC6	453.4
ACO2	27.4
DAZAP2	981.1
SPARCL1	2647.7
MCL1	13.8
MCL1	1116.3
MCL1	974.3
HSPA1B	202.7
HSPA1L	178.3
ACTB	6877
SARS	203.9
TMBIM6	400
TMBIM6	712
LMAN2	22.4
HSPD1	538.1
HSPD1	942.5
ZYX	103.7
RPL12	4841.4
CIRBP	269.4
CIRBP	250
CCT7	70.2
PAFAH1B1	33.8
PSME1	219.2
PAFAH1B1	134.7
PAFAH1B1	159.4
RPS10	1834.7
ATP5O	432.5
RPS15	2204.8
PSMD8	146
LAMP2	115.3
TPI1	504.4
RPL29	882.8
GSTP1	173.3
HYOU1	45.2
SNRPD2	359.3
PLOD1	114.2
ZNF207	307.9
ZNF207	403
PSMD2	72.1
SCD	206.2
SCD	440.1
RAP1B	315.9
RPS21	3213.3
MAP4	14.8
MAP4	57.4
BCAP31	163.2
CTSB	278
CTSB	881.1
KARS	674.4
EPRS	56.5
EPRS	113.2
EPRS	54.7
PRDX6	564.7
PRDX6	571.6
PPP1CA	61.3
SARAF	880.9
AHCYL1	79.1
AHCYL1	316
AHCYL1	576.6
IST1	124.4
GNB2	161.9
H2AFZ	194.4
NCOR1	124
NCOR1	86.7
NCOR1	66.8
NCOR1	151.4
SNORD38B	826.9
FLNA	126.5
CNOT1	289.7
CNOT1	225.4
DHCR24	236.1
RAB11A	386.7
RAB11A	88.7
EIF3F	21.3
PSAP	336.4
RNF114	85.3
RNF114	138.5
SNORA68	3698.7
STRAP	331.4
PSAP	942
S100A10	777.9
CCT8	366
MIR1292	268.8
MIR1292	252.1
PSMB1	448.1
CCT4	290.3
EPAS1	750.2
EPAS1	115.9
DNAJA1	321.7
DNAJA1	648.7
PSMD4	142.7
UQCRC2	234.9
CKB	39.3
RHOC	124.3
PGAM1	338.9
STAT1	371.7
SNORA21	3248
SSR1	57
SSR1	13.1
SSR1	306.2
TRA2B	171.3
TRA2B	734.4
FKBP4	27.5
FKBP4	42.1
HDGF	86.7
PALLD	403.9
MGEA5	19.1
MGEA5	178.8
M6PR	9.6
M6PR	193.5
SEP15	491.6
AHCY	108
HLA-E	503.9
HLA-E	633.6
PALLD	33.5
PALLD	184.7
RPLP2	242.9
SNORA52	3146.1
LOC101927137	166.1
TACC1	733.4
MIR1248	1555.8
PPM1G	9
KTN1	30.1
KTN1	214.4
TAGLN2	103.7
SRPRA	50.9
SRPRA	153.1
PHC2	388.9
BTG1	163.7
BTG1	846.8
KDELR1	34.3
LGALS3BP	246.6
SLC3A2	9.9
COX6A1	375.5
RPS23	6323.6
RAB14	142.6
RAB14	44.5
TMED10	154.7
VCL	96
VCL	455.2
DCTN2	93.5
RPS4X	5763.3
DEK	164.2
CALR	33.5
RPL8	1174.5
RPL5	2419.1
RERE	3.9
RERE	3.4
RERE	99.7
HSBP1	261.4
HSBP1	377.6
HMGN1	207.7
LOC101927733	885.5
SEC31A	242.3
GLUD1	171.1
GLUD1	16.5
MLF2	128.3
SNORD54	2714.7
ARPC1A	249.8
CCND2	12.3
CCND2	55.8
CCND2	730
ATP6V0C	103.5
IMMT	259.2
SSRP1	37.7
SSRP1	107.7
SDCBP	933.1
FUS	369.4
CLTA	193.9
SEPHS2	113.9
RPL31	277.5
RPL31	7787
UBA1	240.1
ABLIM1	414.1
ALDOA	102.7
PPIB	185.8
PPIB	274.7
SERP1	196.4
SERP1	135.5
SERP1	239.6
TSPAN3	438.7
TSPAN3	82.8
ACTA2	512.6
PPT1	352.7
TAX1BP1	186.9
TAX1BP1	257.8
MDH1	340.5
PDHA1	110.3
PDHA1	89.4
GNAS	929.2
ANXA6	133.9
CD59	598.9
CD59	534.8
CD59	542.4
SERPING1	818.9
PSME3	87.4
PSME3	34.7
HIF1A	1089
TRIM28	11.1
SNX17	9.9
IPO7	230.2
IPO7	108.5
IPO7	83.7
IPO7	148.2
ACTR3	154.7
RBM14-RBM4	24.5
CKAP4	272.2
CKAP4	258.1
AARS	295.1
TMEM189-UBE2V1	136.7
TMEM189-UBE2V1	274.6
TMEM189-UBE2V1	223.4
SSR4	721.9
CD9	128.6
PRDX2	35.7
HADHB	409.4
TXNIP	87.4
TXNIP	508.7
TXNIP	1295.3
RPN1	136.1
ANXA1	1899.9
PAICS	88.3
PAICS	8.7
JUP	90.7
EIF1AX	82.6
EIF1AX	93.5
EIF1AX	89
EIF1AX	62.8
YWHAH	237.2
DSTN	389.6
DSTN	1139.2
TAF7	194.5
EIF5B	194.7
EIF5B	103.2
EIF5B	108.5
EIF5B	93.9
CD99	220.9
CD99	308
LDHB	656.4
HNRNPH1	706.5
BLCAP	89.7
RPLP0	2851.5
ADD3	679.2
HADH	262.5
HADH	122.9
PFKP	153.9
ANP32A	115.4
RAD23A	87.2
GNAI2	40.5
DUSP1	1882.1
TGM2	132.7
ANP32A	8.8
DUSP1	24.5
WTH3DI	16.6
RAD23A	139.7
WTH3DI	233.3
WTH3DI	19.7
RPS18	2915.2
PLD3	22.6
ANP32A	255.7
PSMF1	22.2
PSMF1	91.4
HNRNPA0	465.7
HNRNPA0	153
GOLGB1	86.8
GOLGB1	244
MYL9	5.3
CTTN	280.9
STOM	471.4
STOM	969.3
STOM	9.1
RCN1	471.1
LOC100996696	264.6
GTF2IP4	121.1
CYC1	35.3
PSMC2	21.9
PSMC2	233.1
MMP2	289.3
SF3B1	188.8
SF3B1	642.1
SMARCC1	118.3
SMARCC1	94.2
SMARCC1	98.6
SMARCC1	73
SNU13	64.1
SNU13	385.5
TM9SF2	298.3
SYNGR2	66.3
PIP4K2B	74.3
PIP4K2B	103.5
SLC4A5	12.2
BCLAF1	22.6
BCLAF1	491.4
SON	8.3
SON	559.2
PXN	183.7
KPNA2	86.4
ATP6V1B2	288.5
TUBA1B	818.1
CBX3	47.2
RBBP7	306.8
SDHA	156.7
RPS29	6523.8
DAP	100.5
ARF4	338.4
ARF4	357.1
COPB2	303
USP9X	181.9
USP9X	236.6
BCLAF1	8.3
PFKL	154.9
NBPF20	986.4
NBPF25P	423.7
LGALS1	732.3
GPX4	449.1
THBS1	14.8
THBS1	215.5
THBS1	410.3
THBS1	520.2
CSE1L	43.6
CSE1L	410.8
TUFM	68.2
PSMA7	191.8
POLD2	10.8
CPE	161.8
CPE	101.7
PGD	25.9
COX8A	199.8
PGRMC1	40.9
PGRMC1	639.4
EIF5A	257.6
EIF5A	25.1
ITGB5	167.1
ITGB5	147.1
MGAT1	161.3
ACLY	232.5
ACLY	338.7
SRSF7	305.7
CDH1	23.3
CDH1	14.5
RPL36A-HNRNPH2	169.7
PJA2	110.2
COX7C	416.8
ECHS1	419.3
PLP2	86.4
HLA-DPB1	683.8
SSB	84.9
SSB	221
RAB5C	87.9
GPNMB	804
EIF2S1	210.1
EIF2S1	92.8
EIF2S1	202.6
HAX1	120.2
NFE2L2	261.7
TIMP3	67
TIMP3	107.7
TIMP3	159.7
TIMP3	623.2
