X	GSM49599
MIR4640	569.3
RFC2	18.5
HSPA6	78.1
PAX8	367.8
GUCA1A	49.8
MIR5193	140
THRA	54.8
PTPN21	20.6
CCL5	42.7
CYP2E1	37.3
EPHB3	79
ESRRA	139.2
CYP2A6	121.9
GAS6	521.2
MMP14	296.9
TRADD	108.4
CHURC1-FNTB	55.2
PLD1	39.7
DTX2P1-UPK3BP1-PMS2P11	896.9
BAD	80.3
PRPF8	282.4
CAPNS1	438.2
RPL35	1141.9
MIR6805	2364.9
EIF4G2	1843.5
EIF3D	180.1
PARK7	1008.6
SRP14	836.1
GDI2	299
GDI2	597.9
RPL11	2228.1
ARF3	331.4
RPL21P28	2372
RPL24	3357.4
HNRNPC	357.8
SEPT2	1111.8
HNRNPA1P10	2416.1
RPS27A	1945.2
LOC100508408	2576.6
FAU	1539.2
TARDBP	328.3
CFL1	1236.5
RPL18	1983.4
EIF3F	803.6
RPS5	1275.5
RPL27	3207
RPL34	2752.9
NARS	473.2
STARD7	282.3
RPL19	2769
SLC25A3	1148.5
SNORD35B	4489.6
RPL9	3240.6
MIR5047	1247.7
RPL6	1920.7
CTDNEP1	125.5
RPL10A	947.5
CBX3	567.1
RPL17-C18orf32	2687.8
PSMB2	346.3
KHDRBS1	293.1
ATP6V1G2-DDX39B	761.3
RTCB	253.8
ERH	580.3
GATC	253.2
ABCF1	156.7
DAD1	244
YY1	491.9
JTB	449.9
KAT7	151
ZNF146	212.7
SART1	61.3
ILF2	215.7
SPAG7	252.4
ZPR1	101.7
TAF10	408.9
C1D	41.3
NONO	701.5
LOC101929240	270.1
RHOA	1387.7
RNPS1	255.2
RPS24	3198.1
RPL30	2887.3
NPM1	1626.5
HSP90AB1	1267.3
MIR3620	500.3
IK	141.1
SNX3	583.8
CANX	1938
SART3	98.9
CNPPD1	94.8
SMNDC1	143.1
HNRNPM	231.6
HNRNPD	183.2
RPL14	1869.4
GUK1	179.9
KXD1	196.8
OAZ1	1117.7
ATP6V0B	284.9
KARS	396.1
H3F3AP4	1331.1
RPS6	3266.1
RPS7	1729
USP22	404.9
