X	control_1h	exposed_1h	exposed_1h
200047_s_at	1512.7	1402.9	1402.9
200048_s_at	1296.5	1503.4	1503.4
200049_at	274.9	319.6	319.6
200050_at	770.7	596.5	596.5
200051_at	191.0	194.1	194.1
200052_s_at	1209.1	1074.1	1074.1
200053_at	279.0	312.3	312.3
200054_at	294.8	247.8	247.8
200055_at	1277.5	1589.2	1589.2
200056_s_at	258.0	195.6	195.6
200057_s_at	3337.2	3292.4	3292.4
200058_s_at	1561.7	1432.2	1432.2
200059_s_at	5257.8	4159.0	4159.0
200060_s_at	1986.1	1775.9	1775.9
200061_s_at	6722.1	5934.3	5934.3
200062_s_at	7984.8	7049.1	7049.1
200063_s_at	5006.3	4705.0	4705.0
200064_at	6069.7	5223.4	5223.4
200065_s_at	2636.0	3086.8	3086.8
200066_at	724.0	770.1	770.1
200067_x_at	1092.3	1140.6	1140.6
200068_s_at	3514.5	3327.1	3327.1
200069_at	164.1	139.9	139.9
200070_at	368.8	247.3	247.3
200071_at	869.9	808.9	808.9
200072_s_at	2768.9	2240.5	2240.5
200073_s_at	2014.0	1917.1	1917.1
200074_s_at	3755.0	3774.0	3774.0
200075_s_at	883.2	894.6	894.6
200076_s_at	450.2	504.6	504.6
200077_s_at	5610.6	4923.1	4923.1
200078_s_at	1190.8	1001.7	1001.7
200079_s_at	2116.7	2158.3	2158.3
200080_s_at	3057.6	3513.2	3513.2
200081_s_at	6221.6	5499.5	5499.5
200082_s_at	6102.8	5396.9	5396.9
200083_at	1908.7	1920.2	1920.2
200084_at	1529.3	1524.9	1524.9
200085_s_at	2422.5	2355.3	2355.3
200086_s_at	1263.2	1180.7	1180.7
200087_s_at	1844.7	1658.5	1658.5
200088_x_at	7006.2	5450.4	5450.4
200089_s_at	3594.1	3147.9	3147.9
200090_at	1147.2	1090.8	1090.8
200091_s_at	2771.6	2339.1	2339.1
200092_s_at	6333.6	6067.5	6067.5
200093_s_at	2083.7	2009.0	2009.0
200094_s_at	2821.9	3913.8	3913.8
200095_x_at	11718.8	9261.8	9261.8
200096_s_at	1415.1	1553.1	1553.1
200097_s_at	1978.7	1781.5	1781.5
200098_s_at	1360.4	1142.3	1142.3
200099_s_at	7001.4	5957.1	5957.1
200593_s_at	1110.7	1201.1	1201.1
200594_x_at	1687.0	2201.4	2201.4
200595_s_at	1032.6	873.5	873.5
200596_s_at	339.7	336.8	336.8
200597_at	174.5	136.6	136.6
200598_s_at	887.1	1152.7	1152.7
200599_s_at	3670.1	3333.5	3333.5
200600_at	1473.5	1698.9	1698.9
200601_at	2425.7	2802.5	2802.5
200602_at	546.6	386.3	386.3
200603_at	512.5	417.3	417.3
200604_s_at	274.9	369.1	369.1
200605_s_at	666.1	871.0	871.0
200606_at	866.3	813.1	813.1
200607_s_at	564.9	764.2	764.2
200608_s_at	1306.4	1169.6	1169.6
200609_s_at	1562.1	1583.3	1583.3
200610_s_at	3128.6	2824.2	2824.2
200611_s_at	1998.3	1886.5	1886.5
200612_s_at	204.1	207.2	207.2
200613_at	2394.1	2684.2	2684.2
200614_at	3537.7	3710.2	3710.2
200615_s_at	220.5	238.9	238.9
200616_s_at	222.5	313.5	313.5
200617_at	920.6	791.2	791.2
200618_at	1712.6	2742.5	2742.5
200619_at	1362.5	1413.5	1413.5
200620_at	1025.1	1035.5	1035.5
200621_at	982.8	933.0	933.0
200622_x_at	354.6	530.3	530.3
200623_s_at	460.5	1205.9	1205.9
200624_s_at	1707.2	1659.4	1659.4
200625_s_at	2627.9	2467.5	2467.5
200626_s_at	1661.6	1221.0	1221.0
200627_at	3696.4	3506.4	3506.4
200628_s_at	670.2	729.5	729.5
200629_at	1192.2	1147.4	1147.4
200630_x_at	2250.6	2585.9	2585.9
200631_s_at	2351.2	2012.6	2012.6
200632_s_at	514.0	512.0	512.0
200633_at	10108.4	8221.0	8221.0
200634_at	5471.6	5548.4	5548.4
200635_s_at	385.0	514.2	514.2
200636_s_at	951.0	1003.7	1003.7
200637_s_at	350.0	483.5	483.5
200638_s_at	2765.5	2465.7	2465.7
200639_s_at	2663.3	2242.5	2242.5
200640_at	3476.4	2746.9	2746.9
200641_s_at	1949.6	1967.4	1967.4
200642_at	3942.2	4027.9	4027.9
200643_at	573.7	651.5	651.5
200644_at	1700.6	1428.6	1428.6
200645_at	2205.9	2442.9	2442.9
200646_s_at	249.8	393.3	393.3
200647_x_at	1724.8	1808.6	1808.6
200648_s_at	98.8	129.7	129.7
200649_at	622.6	862.2	862.2
200650_s_at	6548.8	6234.9	6234.9
200651_at	7063.2	5963.5	5963.5
200652_at	1425.7	1290.4	1290.4
200653_s_at	2362.4	2042.7	2042.7
200654_at	4904.3	4853.9	4853.9
200655_s_at	1927.5	1606.7	1606.7
200656_s_at	1641.0	1905.0	1905.0
200657_at	4237.2	4359.9	4359.9
200658_s_at	1431.4	1609.7	1609.7
200659_s_at	305.1	283.1	283.1
200660_at	1722.4	2250.0	2250.0
200661_at	2960.8	2663.5	2663.5
200662_s_at	1099.9	949.1	949.1
200663_at	3664.3	3636.6	3636.6
200664_s_at	548.1	792.4	792.4
200665_s_at	3080.8	3240.5	3240.5
200666_s_at	1051.9	1266.6	1266.6
200667_at	760.3	698.9	698.9
200668_s_at	2204.0	2242.9	2242.9
200669_s_at	1304.7	1422.4	1422.4
200670_at	481.1	373.5	373.5
200671_s_at	141.9	223.5	223.5
200672_x_at	354.4	365.5	365.5
200673_at	1895.4	2212.8	2212.8
200674_s_at	9216.7	6979.4	6979.4
200675_at	2994.8	2872.1	2872.1
200676_s_at	165.5	204.5	204.5
200677_at	2317.4	2167.2	2167.2
200678_x_at	778.7	826.5	826.5
200679_x_at	1738.0	2116.5	2116.5
200680_x_at	5603.8	6082.6	6082.6
200681_at	2560.3	2483.4	2483.4
200682_s_at	2095.5	2363.3	2363.3
200683_s_at	585.6	630.6	630.6
200684_s_at	484.5	511.3	511.3
200685_at	61.7	47.4	47.4
200686_s_at	805.5	698.7	698.7
200687_s_at	1143.7	1189.1	1189.1
200688_at	111.7	124.3	124.3
200689_x_at	6654.7	5285.5	5285.5
200690_at	153.5	122.3	122.3
200691_s_at	1376.9	1276.5	1276.5
200692_s_at	809.3	781.8	781.8
200693_at	3069.6	2910.4	2910.4
200694_s_at	1523.0	1274.8	1274.8
200695_at	529.1	601.7	601.7
200696_s_at	217.7	212.5	212.5
200697_at	860.6	970.1	970.1
200698_at	641.1	638.4	638.4
200699_at	544.2	448.2	448.2
200700_s_at	968.9	983.6	983.6
200701_at	3267.3	3150.7	3150.7
200702_s_at	129.4	257.2	257.2
200703_at	3142.8	2880.7	2880.7
200704_at	3165.1	2535.6	2535.6
200705_s_at	2985.8	2991.8	2991.8
200706_s_at	1668.9	1706.4	1706.4
200707_at	689.1	990.2	990.2
200708_at	1290.4	1267.2	1267.2
200709_at	2668.9	2877.1	2877.1
200710_at	1014.8	991.2	991.2
200711_s_at	747.4	781.6	781.6
200712_s_at	1265.6	1296.3	1296.3
200713_s_at	3890.8	3501.4	3501.4
200714_x_at	798.0	898.8	898.8
200715_x_at	3749.6	3323.0	3323.0
200716_x_at	9850.9	7551.9	7551.9
200717_x_at	7627.0	6991.8	6991.8
200718_s_at	3768.8	3333.1	3333.1
200719_at	210.7	215.5	215.5
200720_s_at	617.1	739.7	739.7
200721_s_at	499.0	517.5	517.5
200722_s_at	790.7	777.9	777.9
200723_s_at	1746.1	1905.6	1905.6
200724_at	20.7	11.4	11.4
200725_x_at	5857.8	4845.7	4845.7
200726_at	1545.1	1391.8	1391.8
200727_s_at	157.4	526.1	526.1
200728_at	1340.1	1247.8	1247.8
200729_s_at	976.2	929.1	929.1
200730_s_at	389.2	738.8	738.8
200731_s_at	368.8	454.8	454.8
200732_s_at	486.3	514.9	514.9
200733_s_at	461.2	444.7	444.7
200734_s_at	748.6	910.4	910.4
200735_x_at	5423.4	5073.8	5073.8
200736_s_at	2383.0	2340.3	2340.3
200737_at	889.4	977.3	977.3
200738_s_at	2875.5	2968.2	2968.2
200739_s_at	878.7	1293.5	1293.5
200740_s_at	3018.0	2860.2	2860.2
200741_s_at	5526.8	4993.7	4993.7
200742_s_at	712.6	944.8	944.8
200743_s_at	1045.8	965.4	965.4
200744_s_at	1030.3	1112.6	1112.6
200745_s_at	1241.7	1622.2	1622.2
200746_s_at	1549.4	1617.2	1617.2
200747_s_at	375.5	331.3	331.3
200748_s_at	7588.1	6910.0	6910.0
200749_at	959.5	783.7	783.7
200750_s_at	3823.0	3321.7	3321.7
200751_s_at	930.3	1124.2	1124.2
200752_s_at	200.3	342.6	342.6
200753_x_at	866.3	987.8	987.8
200754_x_at	3741.3	3892.7	3892.7
200755_s_at	953.2	1543.2	1543.2
200756_x_at	334.1	655.7	655.7
200757_s_at	2039.1	1528.7	1528.7
200758_s_at	565.3	767.0	767.0
200759_x_at	790.9	785.1	785.1
200760_s_at	582.9	689.1	689.1
200761_s_at	651.8	703.0	703.0
200762_at	1495.5	1299.3	1299.3
200763_s_at	6937.8	6274.1	6274.1
200764_s_at	968.9	923.7	923.7
200765_x_at	1487.4	1391.0	1391.0
200766_at	276.6	312.9	312.9
200767_s_at	146.2	215.9	215.9
200768_s_at	1346.0	1092.2	1092.2
200769_s_at	270.4	321.6	321.6
200770_s_at	480.7	508.8	508.8
200771_at	946.9	883.1	883.1
200772_x_at	2521.7	2749.1	2749.1
200773_x_at	3543.6	3320.3	3320.3
200774_at	1697.7	1699.0	1699.0
200775_s_at	2614.7	2856.6	2856.6
200776_s_at	1272.7	1497.2	1497.2
200777_s_at	1823.2	1616.3	1616.3
200778_s_at	1569.3	1872.4	1872.4
200779_at	1417.6	1235.7	1235.7
200780_x_at	9940.0	7272.2	7272.2
200781_s_at	6493.1	5682.8	5682.8
200782_at	2527.9	2309.6	2309.6
200783_s_at	747.1	670.9	670.9
200784_s_at	40.1	58.0	58.0
200785_s_at	97.1	69.7	69.7
200786_at	2218.2	1999.5	1999.5
200787_s_at	1104.4	1554.9	1554.9
200788_s_at	2549.7	2795.2	2795.2
200789_at	343.1	264.0	264.0
200790_at	1916.6	1713.2	1713.2
200791_s_at	1245.3	1118.0	1118.0
200792_at	2125.3	1878.7	1878.7
200793_s_at	414.8	442.0	442.0
200794_x_at	1658.4	1512.0	1512.0
200795_at	23.0	7.1	7.1
200796_s_at	100.1	167.8	167.8
200797_s_at	2185.6	2269.1	2269.1
200798_x_at	989.8	1134.1	1134.1
200799_at	1788.6	1874.8	1874.8
200800_s_at	1051.4	1054.9	1054.9
200801_x_at	12548.0	9969.8	9969.8
200802_at	973.3	803.8	803.8
200803_s_at	1527.1	1789.0	1789.0
200804_at	1839.7	1933.8	1933.8
200805_at	409.2	435.9	435.9
200806_s_at	2354.2	2971.4	2971.4
200807_s_at	4541.5	4077.6	4077.6
200808_s_at	1656.9	2126.3	2126.3
200809_x_at	6572.4	5147.2	5147.2
200810_s_at	941.1	771.1	771.1
200811_at	505.0	528.8	528.8
200812_at	1572.3	1623.4	1623.4
200813_s_at	269.7	305.1	305.1
200814_at	1517.4	1671.9	1671.9
200815_s_at	681.8	694.4	694.4
200816_s_at	558.4	546.0	546.0
200817_x_at	9806.1	9021.6	9021.6
200818_at	2241.3	2205.0	2205.0
200819_s_at	10352.7	7838.2	7838.2
200820_at	1655.9	1540.5	1540.5
200821_at	445.7	402.2	402.2
200822_x_at	4945.0	4559.8	4559.8
200823_x_at	5162.7	4059.5	4059.5
200824_at	1772.4	1941.7	1941.7
200825_s_at	1368.5	1567.0	1567.0
200826_at	4201.0	4179.7	4179.7
200827_at	402.9	371.6	371.6
200828_s_at	1457.9	1400.7	1400.7
200829_x_at	838.3	891.9	891.9
200830_at	2161.4	1706.3	1706.3
200831_s_at	648.4	1010.0	1010.0
200832_s_at	1452.5	1457.4	1457.4
200833_s_at	1677.2	1664.7	1664.7
200834_s_at	10783.6	8020.2	8020.2
200835_s_at	4.8	25.5	25.5
200836_s_at	317.9	517.8	517.8
200837_at	1538.6	1961.9	1961.9
200838_at	1092.1	973.2	973.2
200839_s_at	1703.3	1502.6	1502.6
200840_at	3125.1	2829.7	2829.7
200841_s_at	25.0	102.1	102.1
200842_s_at	140.6	295.0	295.0
200843_s_at	435.7	417.8	417.8
200844_s_at	1768.5	2009.4	2009.4
200845_s_at	1026.3	955.0	955.0
200846_s_at	1352.2	1573.7	1573.7
200847_s_at	873.7	673.8	673.8
200848_at	266.4	365.2	365.2
