X	control_1h	exposed_1h	exposed_1h
212754_s_at	190.8	162.3	162.3
212755_at	15.0	21.8	21.8
212756_s_at	203.7	200.3	200.3
212757_s_at	181.4	190.1	190.1
212758_s_at	28.1	43.3	43.3
212759_s_at	48.2	53.9	53.9
212760_at	164.5	176.7	176.7
212761_at	487.6	398.9	398.9
212762_s_at	111.5	214.6	214.6
212763_at	96.9	59.3	59.3
212764_at	118.9	131.0	131.0
212765_at	469.6	390.2	390.2
212766_s_at	449.7	377.3	377.3
212767_at	185.2	180.2	180.2
212768_s_at	2.1	5.0	5.0
212769_at	137.5	98.1	98.1
212770_at	171.5	189.7	189.7
212771_at	416.9	328.4	328.4
212772_s_at	109.3	161.7	161.7
212773_s_at	630.4	658.1	658.1
212774_at	1179.2	1102.5	1102.5
212775_at	468.4	454.0	454.0
212776_s_at	337.8	371.4	371.4
212777_at	93.0	100.6	100.6
212778_at	363.6	257.3	257.3
212779_at	187.5	145.3	145.3
212780_at	175.4	163.1	163.1
212781_at	201.7	172.1	172.1
212782_x_at	1309.6	1460.1	1460.1
212783_at	204.9	254.6	254.6
212784_at	191.0	272.4	272.4
212785_s_at	358.4	282.6	282.6
212786_at	99.4	78.1	78.1
212787_at	601.7	518.5	518.5
212788_x_at	11155.4	8867.7	8867.7
212789_at	494.9	400.8	400.8
212790_x_at	10176.9	8200.4	8200.4
212791_at	214.9	232.7	232.7
212792_at	163.8	264.2	264.2
212793_at	17.4	6.8	6.8
212794_s_at	95.8	120.7	120.7
212795_at	325.6	293.3	293.3
212796_s_at	252.5	227.2	227.2
212797_at	38.5	45.5	45.5
212798_s_at	516.1	544.9	544.9
212799_at	237.5	246.8	246.8
212800_at	72.5	87.9	87.9
212801_at	277.0	326.0	326.0
212802_s_at	449.6	449.5	449.5
212803_at	250.0	203.0	203.0
212804_s_at	195.7	152.7	152.7
212805_at	27.4	11.6	11.6
212806_at	18.4	7.7	7.7
212807_s_at	312.1	319.4	319.4
212808_at	193.3	347.7	347.7
212809_at	402.6	406.0	406.0
212810_s_at	97.0	56.5	56.5
212811_x_at	147.9	137.6	137.6
212812_at	136.2	121.2	121.2
212813_at	229.7	241.8	241.8
212814_at	105.1	62.6	62.6
212815_at	465.5	422.8	422.8
212816_s_at	201.8	201.7	201.7
212817_at	65.2	85.6	85.6
212818_s_at	178.9	157.9	157.9
212819_at	131.2	71.2	71.2
212820_at	153.8	121.4	121.4
212821_at	6.9	11.0	11.0
212822_at	1908.6	1868.0	1868.0
212823_s_at	76.9	100.9	100.9
212824_at	189.2	156.7	156.7
212825_at	243.5	251.7	251.7
212826_s_at	4414.9	3867.9	3867.9
212827_at	22.5	2.5	2.5
212828_at	242.5	208.3	208.3
212829_at	214.1	187.7	187.7
212830_at	104.1	103.2	103.2
212831_at	15.1	16.0	16.0
212832_s_at	665.8	557.6	557.6
212833_at	512.8	500.9	500.9
212834_at	70.4	67.7	67.7
212835_at	134.1	155.8	155.8
212836_at	349.9	281.2	281.2
212837_at	250.7	233.1	233.1
212838_at	286.7	297.6	297.6
212839_s_at	42.5	37.9	37.9
212840_at	134.9	182.9	182.9
212841_s_at	75.6	69.1	69.1
212842_x_at	260.9	218.0	218.0
212843_at	14.6	6.7	6.7
212844_at	65.0	85.3	85.3
212845_at	575.2	483.8	483.8
212846_at	811.8	633.7	633.7
212847_at	151.8	95.4	95.4
212848_s_at	365.1	309.4	309.4
212849_at	152.1	215.3	215.3
212850_s_at	34.1	14.6	14.6
212851_at	139.8	158.6	158.6
212852_s_at	488.5	589.2	589.2
212853_at	82.5	92.9	92.9
212854_x_at	1298.6	1251.7	1251.7
212855_at	252.5	268.9	268.9
212856_at	68.1	72.4	72.4
212857_x_at	1554.8	1517.6	1517.6
212858_at	139.1	202.8	202.8
212859_x_at	1235.5	1209.7	1209.7
212860_at	146.5	135.9	135.9
212861_at	330.7	358.9	358.9
212862_at	487.3	533.7	533.7
212863_x_at	957.0	1160.5	1160.5
212864_at	337.5	332.5	332.5
212865_s_at	37.3	30.1	30.1
212866_at	197.7	249.2	249.2
212867_at	214.9	150.4	150.4
212868_x_at	5.4	8.8	8.8
212869_x_at	9078.2	7814.3	7814.3
212870_at	181.7	135.6	135.6
212871_at	188.8	189.5	189.5
212872_s_at	264.8	315.7	315.7
212873_at	41.1	39.4	39.4
212874_at	3.0	1.2	1.2
212875_s_at	191.5	177.9	177.9
212876_at	69.2	88.4	88.4
212877_at	443.4	450.2	450.2
212878_s_at	662.2	764.5	764.5
212879_x_at	53.2	100.1	100.1
212880_at	103.3	96.2	96.2
212881_at	105.7	79.6	79.6
212882_at	181.3	147.6	147.6
212883_at	16.9	8.1	8.1
212884_x_at	85.7	46.0	46.0
212885_at	221.9	220.9	220.9
212886_at	9.2	21.3	21.3
212887_at	995.9	897.3	897.3
212888_at	232.3	149.7	149.7
212889_x_at	9.0	22.9	22.9
212890_at	312.1	343.1	343.1
212891_s_at	355.5	408.9	408.9
212892_at	225.8	226.9	226.9
212893_at	367.8	288.4	288.4
212894_at	205.4	151.5	151.5
212895_s_at	397.0	396.0	396.0
212896_at	258.9	274.7	274.7
212897_at	75.6	92.0	92.0
212898_at	533.8	412.9	412.9
212899_at	118.4	177.3	177.3
212900_at	288.4	129.4	129.4
212901_s_at	58.4	112.9	112.9
212902_at	121.7	159.9	159.9
212904_at	1067.5	918.8	918.8
212905_at	147.8	126.2	126.2
212906_at	47.0	37.4	37.4
212907_at	637.2	585.0	585.0
212908_at	51.5	88.3	88.3
212909_at	5.7	1.8	1.8
212910_at	167.9	179.7	179.7
212911_at	42.9	45.9	45.9
212912_at	41.3	23.6	23.6
212913_at	68.9	26.9	26.9
212914_at	33.5	32.0	32.0
212915_at	1.8	1.0	1.0
212916_at	87.4	75.6	75.6
212917_x_at	122.0	95.5	95.5
212918_at	366.9	297.2	297.2
212919_at	410.8	399.0	399.0
212920_at	184.6	146.1	146.1
212921_at	9.5	16.3	16.3
212922_s_at	477.7	491.7	491.7
212923_s_at	497.0	467.7	467.7
212924_s_at	20.1	12.5	12.5
212925_at	40.9	58.0	58.0
212926_at	57.2	60.1	60.1
212927_at	115.5	72.7	72.7
212928_at	340.5	399.0	399.0
212929_s_at	347.9	278.3	278.3
212930_at	84.5	76.3	76.3
212931_at	131.8	168.0	168.0
212932_at	52.1	97.9	97.9
212933_x_at	2211.0	1913.6	1913.6
212934_at	80.0	100.2	100.2
212935_at	5.8	1.8	1.8
212936_at	42.4	33.7	33.7
212937_s_at	63.9	150.3	150.3
212938_at	40.3	66.7	66.7
212939_at	4.1	17.9	17.9
212940_at	25.4	92.1	92.1
212942_s_at	216.5	216.0	216.0
212943_at	127.2	74.9	74.9
212944_at	262.6	304.4	304.4
212945_s_at	110.3	88.5	88.5
212946_at	95.5	69.3	69.3
212947_at	58.6	65.1	65.1
212948_at	97.9	96.9	96.9
212949_at	357.1	333.6	333.6
212950_at	1.5	3.1	3.1
212951_at	3.5	3.3	3.3
212952_at	217.5	600.6	600.6
212953_x_at	1526.7	1185.3	1185.3
212954_at	96.6	89.5	89.5
212955_s_at	952.5	1116.1	1116.1
212956_at	331.3	320.3	320.3
212957_s_at	54.6	64.8	64.8
212958_x_at	456.4	409.7	409.7
212959_s_at	202.6	215.7	215.7
212960_at	51.5	63.9	63.9
212961_x_at	329.4	369.9	369.9
212962_at	106.8	120.5	120.5
212963_at	18.9	17.3	17.3
212964_at	141.6	141.4	141.4
212965_at	41.0	47.4	47.4
212966_at	98.4	141.7	141.7
212967_x_at	2495.4	2417.6	2417.6
212968_at	197.8	191.2	191.2
212969_x_at	123.7	255.2	255.2
212970_at	108.8	110.0	110.0
212971_at	789.8	716.9	716.9
212972_x_at	44.5	26.6	26.6
212973_at	311.3	370.2	370.2
212974_at	57.2	51.4	51.4
212975_at	109.4	99.9	99.9
212976_at	3.9	4.7	4.7
212977_at	8.3	6.0	6.0
212978_at	21.9	30.3	30.3
212979_s_at	145.6	215.3	215.3
212980_at	46.7	45.9	45.9
212981_s_at	107.0	79.2	79.2
212982_at	245.9	173.4	173.4
212983_at	1097.6	1612.7	1612.7
212984_at	148.4	131.6	131.6
212985_at	141.4	148.4	148.4
212986_s_at	237.9	209.4	209.4
212987_at	642.4	572.4	572.4
212988_x_at	8896.5	7583.2	7583.2
212989_at	165.3	170.0	170.0
212990_at	88.7	84.8	84.8
212991_at	39.8	27.6	27.6
212992_at	211.8	188.4	188.4
212993_at	313.8	348.1	348.1
212994_at	102.9	116.9	116.9
212995_x_at	978.7	1098.9	1098.9
212996_s_at	50.8	52.4	52.4
212997_s_at	188.6	225.1	225.1
212998_x_at	3.2	0.9	0.9
212999_x_at	6.7	4.1	4.1
213000_at	177.0	203.4	203.4
213001_at	25.6	16.5	16.5
213002_at	186.8	208.1	208.1
213003_s_at	9.1	42.3	42.3
213004_at	38.8	13.3	13.3
213005_s_at	132.8	152.0	152.0
213006_at	24.4	16.4	16.4
213007_at	553.3	445.6	445.6
213008_at	409.2	372.3	372.3
213009_s_at	898.1	893.0	893.0
213010_at	150.0	153.7	153.7
213011_s_at	3959.9	3721.7	3721.7
213012_at	77.3	107.3	107.3
213013_at	51.6	36.5	36.5
213014_at	19.3	13.2	13.2
213015_at	129.4	254.3	254.3
213016_at	320.5	320.2	320.2
213017_at	208.8	142.6	142.6
213018_at	184.9	198.9	198.9
213019_at	236.2	221.1	221.1
213020_at	63.0	53.6	53.6
213021_at	100.5	98.7	98.7
213022_s_at	73.1	196.5	196.5
213023_at	67.8	106.2	106.2
213024_at	90.9	73.0	73.0
213025_at	233.5	196.2	196.2
213026_at	214.4	213.8	213.8
213027_at	191.2	171.1	171.1
213028_at	172.4	177.1	177.1
213029_at	409.3	395.7	395.7
213030_s_at	77.5	62.2	62.2
213031_s_at	283.3	220.8	220.8
213032_at	167.6	117.2	117.2
213033_s_at	73.8	51.7	51.7
213034_at	181.8	125.8	125.8
213035_at	159.9	162.4	162.4
213036_x_at	5.2	25.6	25.6
213037_x_at	2602.2	2546.0	2546.0
213038_at	196.2	272.1	272.1
213039_at	1001.2	1126.8	1126.8
213040_s_at	76.6	57.0	57.0
213041_s_at	556.4	850.5	850.5
213042_s_at	4.2	1.4	1.4
213043_s_at	165.6	151.5	151.5
213044_at	950.2	892.3	892.3
213045_at	119.7	95.6	95.6
213046_at	180.5	152.4	152.4
213047_x_at	2632.8	2507.8	2507.8
213048_s_at	2523.4	3550.1	3550.1
213049_at	116.3	101.4	101.4
213050_at	3.2	2.4	2.4
213051_at	628.2	632.6	632.6
213052_at	450.2	546.0	546.0
213053_at	144.3	136.9	136.9
213054_at	78.0	41.4	41.4
213055_at	22.1	29.3	29.3
213056_at	1.6	8.9	8.9
213057_at	141.5	131.3	131.3
213058_at	163.7	101.0	101.0
213059_at	315.6	373.8	373.8
213060_s_at	4.1	11.7	11.7
213061_s_at	541.0	554.4	554.4
213062_at	361.9	346.8	346.8
213063_at	304.8	260.9	260.9
213064_at	336.4	299.0	299.0
213065_at	212.2	198.4	198.4
213066_at	113.1	87.9	87.9
213067_at	5.5	33.6	33.6
213068_at	13.6	1.4	1.4
213069_at	2281.5	2042.5	2042.5
213070_at	345.3	454.2	454.2
213071_at	4.1	4.5	4.5
213072_at	152.4	150.6	150.6
213073_at	145.9	78.9	78.9
213074_at	265.5	279.7	279.7
213075_at	107.5	94.0	94.0
213076_at	69.6	99.1	99.1
213077_at	149.6	135.1	135.1
213078_x_at	96.8	114.4	114.4
213079_at	256.9	265.5	265.5
213080_x_at	4973.5	4061.9	4061.9
213081_at	69.3	44.2	44.2
213082_s_at	68.8	106.1	106.1
213083_at	137.5	138.8	138.8
213084_x_at	7792.3	7246.9	7246.9
213085_s_at	255.2	292.8	292.8
213086_s_at	894.5	756.1	756.1
213087_s_at	57.3	28.8	28.8
213088_s_at	1199.8	1345.5	1345.5
213089_at	15.9	24.7	24.7
213090_s_at	471.3	428.3	428.3
213091_at	30.8	9.1	9.1
213092_x_at	406.0	438.5	438.5
213093_at	396.6	363.8	363.8
213094_at	1590.1	1658.9	1658.9
213095_x_at	5.7	1.7	1.7
213096_at	42.6	32.9	32.9
213097_s_at	633.7	722.6	722.6
213098_at	125.9	77.0	77.0
213099_at	143.3	144.2	144.2
213100_at	3.4	8.9	8.9
213101_s_at	2837.2	2859.6	2859.6
213102_at	1023.4	983.1	983.1
213103_at	18.5	40.6	40.6
213104_at	228.8	267.2	267.2
213105_s_at	328.3	291.9	291.9
213106_at	3.9	9.5	9.5
213107_at	225.5	197.2	197.2
213108_at	5.6	12.6	12.6
213109_at	63.2	58.5	58.5
213110_s_at	58.7	39.4	39.4
213111_at	220.1	169.0	169.0
213112_s_at	173.4	180.6	180.6
213113_s_at	262.2	199.2	199.2
213114_at	32.0	7.8	7.8
213115_at	82.7	95.8	95.8
213116_at	70.5	54.8	54.8
213117_at	143.1	172.5	172.5
213118_at	102.1	72.8	72.8
213119_at	119.2	95.4	95.4
213120_at	15.9	5.8	5.8
213121_at	20.2	50.1	50.1
213122_at	12.6	4.7	4.7
213123_at	266.3	285.9	285.9
213124_at	159.1	153.8	153.8
213125_at	23.6	20.3	20.3
213126_at	108.6	76.9	76.9
213127_s_at	169.9	150.4	150.4
213128_s_at	214.4	152.1	152.1
213129_s_at	430.4	390.4	390.4
213130_at	70.7	73.7	73.7
213131_at	344.9	322.1	322.1
213132_s_at	90.9	123.3	123.3
213133_s_at	326.1	358.8	358.8
213134_x_at	1520.6	1508.2	1508.2
213135_at	96.2	93.6	93.6
213136_at	367.0	267.3	267.3
213137_s_at	92.8	148.9	148.9
213138_at	38.6	30.0	30.0
213139_at	180.9	140.0	140.0
213140_s_at	333.4	310.1	310.1
213141_at	20.5	60.7	60.7
213142_x_at	38.4	24.8	24.8
213143_at	64.0	47.9	47.9
213144_at	57.8	86.6	86.6
213145_at	373.7	408.0	408.0
213146_at	55.1	44.3	44.3
213147_at	9.1	43.6	43.6
213148_at	59.5	35.2	35.2
213149_at	158.3	150.4	150.4
213150_at	28.3	29.8	29.8
213151_s_at	2441.7	2148.2	2148.2
213152_s_at	111.7	86.8	86.8
213153_at	266.9	135.3	135.3
213154_s_at	310.9	244.0	244.0
213155_at	3.1	0.8	0.8
213156_at	1.0	1.6	1.6
213157_s_at	33.9	3.8	3.8
213158_at	1.0	2.3	2.3
213159_at	93.7	88.3	88.3
213160_at	5.3	1.6	1.6
213161_at	306.7	270.3	270.3
213162_at	4.4	3.1	3.1
213164_at	367.9	377.6	377.6
213165_at	194.1	167.3	167.3
213166_x_at	785.4	1020.9	1020.9
213167_s_at	43.6	12.2	12.2
213168_at	589.6	447.9	447.9
213169_at	187.4	196.7	196.7
213170_at	5.0	6.8	6.8
213171_s_at	23.4	14.0	14.0
213172_at	14.2	8.1	8.1
213173_at	40.8	46.3	46.3
213174_at	12.6	43.5	43.5
213175_s_at	6180.6	6057.0	6057.0
213176_s_at	4.5	30.4	30.4
213177_at	6.1	23.3	23.3
213178_s_at	91.5	99.6	99.6
213179_at	363.1	295.4	295.4
213180_s_at	115.4	88.2	88.2
213181_s_at	61.7	39.9	39.9
213182_x_at	42.6	20.8	20.8
213183_s_at	38.7	21.0	21.0
213184_at	298.0	234.7	234.7
213185_at	162.8	130.8	130.8
213186_at	145.0	91.6	91.6
213187_x_at	7506.1	6293.4	6293.4
213188_s_at	132.5	104.4	104.4
213189_at	135.6	151.1	151.1
213190_at	118.9	135.5	135.5
213191_at	55.0	54.0	54.0
213192_at	22.3	45.0	45.0
213193_x_at	40.5	11.9	11.9
213194_at	5.5	6.4	6.4
213195_at	19.7	32.6	32.6
213196_at	233.8	203.9	203.9
213197_at	10.6	4.6	4.6
213198_at	284.1	242.8	242.8
213199_at	296.2	280.7	280.7
213200_at	14.6	2.3	2.3
213201_s_at	25.0	33.2	33.2
213202_at	70.9	132.6	132.6
213203_at	340.1	356.7	356.7
213204_at	45.7	34.8	34.8
213205_s_at	144.8	206.2	206.2
213206_at	26.2	16.1	16.1
213207_s_at	85.0	28.6	28.6
213208_at	79.2	78.6	78.6
213209_at	42.6	103.2	103.2
213210_at	4.5	37.8	37.8
213211_s_at	49.4	61.7	61.7
213212_x_at	82.9	58.8	58.8
213213_at	188.4	186.3	186.3
213214_x_at	8357.7	7025.3	7025.3
213215_at	73.2	67.7	67.7
213216_at	81.6	99.6	99.6
213217_at	5.2	10.1	10.1
213218_at	45.6	45.9	45.9
213219_at	3.0	0.8	0.8
213220_at	213.8	308.8	308.8
213221_s_at	74.0	101.9	101.9
213222_at	1.9	4.4	4.4
213223_at	143.3	168.7	168.7
213224_s_at	119.0	88.5	88.5
213225_at	232.4	143.7	143.7
213226_at	684.4	674.9	674.9
213227_at	313.1	244.2	244.2
213228_at	43.8	37.6	37.6
213229_at	70.9	173.9	173.9
213230_at	225.8	259.4	259.4
213231_at	71.9	35.2	35.2
213232_at	4.9	6.2	6.2
213233_s_at	372.7	408.0	408.0
213234_at	106.1	57.4	57.4
213235_at	47.8	78.6	78.6
213236_at	46.8	55.5	55.5
213237_at	136.3	108.1	108.1
213238_at	44.5	39.8	39.8
213239_at	50.3	45.3	45.3
213240_s_at	6.5	5.5	5.5
213241_at	23.1	20.5	20.5
213242_x_at	462.6	543.2	543.2
213243_at	114.6	109.5	109.5
213244_at	170.1	500.0	500.0
213245_at	73.9	62.7	62.7
213246_at	314.0	369.6	369.6
213247_at	115.2	123.0	123.0
213248_at	122.7	91.9	91.9
213249_at	312.7	258.7	258.7
213250_at	31.5	30.6	30.6
213251_at	352.4	330.1	330.1
213252_at	4.5	7.0	7.0
213253_at	173.1	201.8	201.8
213254_at	80.0	67.4	67.4
213256_at	75.3	51.2	51.2
213257_at	60.8	41.7	41.7
213258_at	623.9	669.2	669.2
213259_s_at	118.1	117.1	117.1
213260_at	84.4	123.2	123.2
213261_at	64.9	58.4	58.4
213262_at	83.1	60.5	60.5
213263_s_at	294.3	275.9	275.9
213264_at	216.0	229.6	229.6
213265_at	15.4	12.9	12.9
213266_at	117.8	145.5	145.5
213267_at	21.1	7.5	7.5
213268_at	40.1	35.7	35.7
213269_at	25.2	35.7	35.7
213270_at	53.8	45.0	45.0
213271_s_at	15.6	23.5	23.5
213272_s_at	48.6	54.7	54.7
213273_at	30.0	4.1	4.1
213274_s_at	203.7	205.7	205.7
213275_x_at	315.6	292.7	292.7
213276_at	4.9	19.7	19.7
213277_at	4.0	3.3	3.3
213278_at	156.0	130.3	130.3
213279_at	162.9	237.1	237.1
213280_at	157.7	125.8	125.8
213281_at	61.3	49.7	49.7
213282_at	96.4	91.0	91.0
213283_s_at	138.4	178.1	178.1
213284_at	3.3	13.5	13.5
213285_at	18.9	1.0	1.0
213286_at	82.8	98.7	98.7
213287_s_at	283.2	263.0	263.0
213288_at	209.6	169.4	169.4
213289_at	69.1	80.3	80.3
213290_at	87.9	96.5	96.5
213291_s_at	410.2	473.6	473.6
213292_s_at	196.6	208.9	208.9
213293_s_at	137.6	167.5	167.5
213294_at	546.5	539.8	539.8
213295_at	77.3	42.4	42.4
213296_at	128.4	92.9	92.9
213297_at	51.4	42.3	42.3
213298_at	35.9	46.1	46.1
213299_at	16.8	24.6	24.6
213300_at	436.1	368.6	368.6
213301_x_at	154.4	159.7	159.7
213302_at	373.0	317.6	317.6
213303_x_at	27.9	21.6	21.6
213304_at	146.6	119.7	119.7
213305_s_at	240.8	303.8	303.8
213306_at	145.8	111.6	111.6
213307_at	3.0	1.0	1.0
213308_at	10.4	14.2	14.2
213309_at	9.8	1.2	1.2
213310_at	188.6	131.2	131.2
213311_s_at	70.8	105.3	105.3
213312_at	40.9	31.2	31.2
213313_at	484.2	471.7	471.7
213314_at	25.9	16.7	16.7
213315_x_at	328.4	399.0	399.0
213316_at	2.1	1.6	1.6
213317_at	2.0	1.0	1.0
213318_s_at	1745.3	1804.7	1804.7
213319_s_at	15.1	13.3	13.3
213320_at	153.6	118.7	118.7
213321_at	15.3	10.2	10.2
213322_at	173.9	199.7	199.7
213323_s_at	25.0	53.1	53.1
213324_at	121.2	252.2	252.2
213325_at	86.3	101.6	101.6
213326_at	141.9	107.8	107.8
213327_s_at	288.3	190.8	190.8
213328_at	23.3	26.4	26.4
213329_at	77.2	108.6	108.6
213330_s_at	1006.7	981.0	981.0
213331_s_at	82.9	87.4	87.4
213332_at	24.6	17.2	17.2
213333_at	130.8	94.4	94.4
213334_x_at	208.6	204.6	204.6
213335_s_at	16.5	19.8	19.8
213336_at	25.7	42.4	42.4
213337_s_at	8.8	27.1	27.1
213338_at	811.1	794.5	794.5
213339_at	42.5	42.3	42.3
213340_s_at	279.8	254.3	254.3
213341_at	96.2	93.1	93.1
213342_at	354.3	437.7	437.7
213343_s_at	61.1	90.6	90.6
213344_s_at	79.8	65.5	65.5
213345_at	29.4	26.0	26.0
213346_at	311.7	264.6	264.6
213347_x_at	5083.6	4400.8	4400.8
213348_at	83.0	90.2	90.2
213349_at	27.9	64.4	64.4
213350_at	154.2	182.3	182.3
213351_s_at	34.4	43.4	43.4
213352_at	28.0	23.3	23.3
213353_at	37.0	36.3	36.3
213354_s_at	3.7	0.9	0.9
213355_at	21.1	15.3	15.3
213356_x_at	6501.4	5592.7	5592.7
213357_at	452.8	419.7	419.7
213358_at	367.3	266.5	266.5
213359_at	273.4	145.3	145.3
213360_s_at	1650.4	1509.0	1509.0
213361_at	212.2	202.7	202.7
213362_at	7.4	1.3	1.3
213363_at	59.7	30.3	30.3
213364_s_at	93.4	65.9	65.9
213365_at	176.7	172.8	172.8
213366_x_at	2202.1	2125.8	2125.8
213367_at	67.9	43.0	43.0
213368_x_at	46.3	98.9	98.9
213369_at	7.7	1.1	1.1
213370_s_at	216.6	213.9	213.9
213371_at	30.1	8.2	8.2
213372_at	111.5	117.8	117.8
213373_s_at	141.7	152.3	152.3
213374_x_at	128.9	87.2	87.2
213375_s_at	45.0	17.3	17.3
213376_at	660.1	686.1	686.1
213377_x_at	7883.5	6832.0	6832.0
213378_s_at	224.9	235.8	235.8
213379_at	324.4	371.4	371.4
213380_x_at	35.6	26.7	26.7
213381_at	4.8	3.3	3.3
213382_at	18.1	0.9	0.9
213383_at	26.2	45.2	45.2
213384_x_at	157.7	144.0	144.0
213385_at	15.5	3.0	3.0
213386_at	51.3	38.9	38.9
213387_at	110.3	107.1	107.1
213388_at	37.1	32.5	32.5
213389_at	99.2	83.2	83.2
213390_at	397.8	374.9	374.9
213391_at	250.0	242.7	242.7
213392_at	168.2	142.4	142.4
213393_at	28.9	30.2	30.2
213394_at	112.0	111.8	111.8
213395_at	3.8	1.0	1.0
213396_s_at	296.9	218.4	218.4
213397_x_at	69.1	72.8	72.8
213398_s_at	524.4	422.9	422.9
213399_x_at	6160.8	5402.5	5402.5
213400_s_at	209.0	222.1	222.1
213401_s_at	14.3	11.3	11.3
213402_at	91.4	101.3	101.3
213403_at	33.3	10.4	10.4
213404_s_at	1003.8	970.1	970.1
213405_at	374.9	335.2	335.2
213406_at	2.2	12.1	12.1
213407_at	334.2	316.8	316.8
213408_s_at	883.5	736.3	736.3
213409_s_at	62.6	45.3	45.3
213410_at	186.1	163.1	163.1
213411_at	1.1	6.2	6.2
213412_at	31.3	9.2	9.2
213413_at	43.0	32.2	32.2
213414_s_at	10126.9	8407.5	8407.5
213415_at	4.5	6.7	6.7
213416_at	12.4	4.4	4.4
213417_at	17.5	2.9	2.9
213418_at	24.1	13.6	13.6
213419_at	94.1	82.5	82.5
213420_at	95.2	84.7	84.7
213421_x_at	45.6	14.1	14.1
213422_s_at	35.6	24.2	24.2
213423_x_at	601.8	626.1	626.1
213424_at	55.9	12.5	12.5
213425_at	196.4	150.6	150.6
213426_s_at	54.2	22.1	22.1
213427_at	260.4	265.9	265.9
213428_s_at	1554.5	1405.9	1405.9
213429_at	20.3	19.7	19.7
213430_at	17.8	14.0	14.0
213431_x_at	67.4	53.9	53.9
213432_at	2.7	1.3	1.3
213433_at	15.5	23.8	23.8
213434_at	250.9	260.5	260.5
213435_at	40.8	43.2	43.2
213436_at	8.2	5.3	5.3
213437_at	44.7	37.8	37.8
213438_at	15.6	8.2	8.2
213439_x_at	5.8	5.8	5.8
213440_at	219.8	201.7	201.7
213441_x_at	49.6	33.5	33.5
213442_x_at	20.7	4.9	4.9
213443_at	27.1	1.4	1.4
213444_at	35.6	8.4	8.4
213445_at	134.4	199.5	199.5
213446_s_at	98.7	261.4	261.4
213447_at	118.6	126.1	126.1
213448_at	176.6	129.7	129.7
213449_at	62.4	120.1	120.1
213450_s_at	61.6	55.4	55.4
213451_x_at	7.2	7.8	7.8
213452_at	88.3	88.5	88.5
213453_x_at	9857.4	7034.3	7034.3
213454_at	171.3	169.1	169.1
213455_at	307.0	294.8	294.8
213456_at	2.7	1.6	1.6
213457_at	76.6	104.5	104.5
213458_at	10.9	1.4	1.4
213459_at	124.0	67.4	67.4
213460_x_at	200.9	185.9	185.9
213461_at	160.8	226.2	226.2
213462_at	3.6	7.6	7.6
213463_s_at	35.6	16.5	16.5
213464_at	57.8	54.5	54.5
213465_s_at	509.3	588.8	588.8
213466_at	2.8	9.1	9.1
213467_at	2.8	24.2	24.2
213468_at	198.7	259.5	259.5
213469_at	25.0	19.1	19.1
213470_s_at	278.4	325.0	325.0
213471_at	54.9	74.4	74.4
213472_at	27.4	42.5	42.5
213473_at	94.7	78.6	78.6
213474_at	63.6	108.3	108.3
213475_s_at	19.2	15.2	15.2
213476_x_at	3169.6	3960.1	3960.1
213477_x_at	10038.3	7684.6	7684.6
213478_at	169.0	199.6	199.6
213479_at	48.6	38.1	38.1
213480_at	41.9	52.7	52.7
213481_at	16.4	22.3	22.3
213482_at	17.4	3.2	3.2
213483_at	90.5	74.5	74.5
213484_at	7.9	9.4	9.4
213485_s_at	134.8	107.3	107.3
213486_at	29.2	20.6	20.6
213487_at	3.9	8.6	8.6
213488_at	9.4	1.3	1.3
213489_at	33.7	55.7	55.7
213490_s_at	213.0	491.5	491.5
213491_x_at	6499.2	5423.3	5423.3
213492_at	13.8	12.0	12.0
213493_at	8.5	5.6	5.6
213494_s_at	46.7	60.2	60.2
213495_s_at	13.9	8.2	8.2
213496_at	8.8	4.8	4.8
213497_at	98.4	99.7	99.7
213498_at	24.2	51.9	51.9
213499_at	64.5	60.1	60.1
213500_at	128.6	96.2	96.2
213501_at	53.9	52.0	52.0
213502_x_at	92.6	21.0	21.0
213503_x_at	7393.8	5476.5	5476.5
213504_at	361.5	365.4	365.4
213505_s_at	171.2	189.6	189.6
213506_at	613.6	535.1	535.1
213507_s_at	4234.9	5199.9	5199.9
213508_at	210.4	156.8	156.8
213509_x_at	366.7	397.3	397.3
213510_x_at	194.2	179.2	179.2
213511_s_at	327.8	309.9	309.9
213512_at	24.8	27.6	27.6
213513_x_at	1503.2	1276.6	1276.6
213514_s_at	144.8	139.2	139.2
213515_x_at	10.7	10.8	10.8
213516_at	6.8	7.7	7.7
213517_at	46.1	59.7	59.7
213518_at	500.0	479.3	479.3
213519_s_at	23.3	13.1	13.1
213520_at	242.3	261.1	261.1
213521_at	140.0	147.2	147.2
213522_s_at	8.6	13.3	13.3
213523_at	151.2	149.8	149.8
213524_s_at	20.9	9.8	9.8
213525_at	5.6	20.3	20.3
213526_s_at	140.8	97.2	97.2
213527_s_at	39.9	65.6	65.6
213528_at	96.4	81.1	81.1
213529_at	43.1	45.3	45.3
213530_at	73.8	81.4	81.4
213531_s_at	533.6	502.0	502.0
213532_at	258.9	273.9	273.9
213533_at	33.3	30.6	30.6
213534_s_at	88.6	75.8	75.8
213535_s_at	1975.3	2460.5	2460.5
213536_s_at	2.5	17.0	17.0
213537_at	1.8	0.8	0.8
213538_at	287.2	263.0	263.0
213539_at	20.4	5.6	5.6
213540_at	16.5	27.6	27.6
