Name,logFC,logCPM,F,PValue,FDR
SAMD4B,0.06778565,6.232680661,0.547973565,0.471159292,0.773896387
SLFN13,-0.155931785,1.891417669,0.547952142,0.4711678,0.773896387
DCAF12,-0.066483639,5.924696662,0.547925797,0.471178265,0.773896387
TOM1L2,0.076125622,6.674394486,0.547316005,0.471420576,0.774069727
HSPB6,-0.311081953,0.482659773,0.547157742,0.471483499,0.774069727
OPLAH,0.234429315,1.44154816,0.546834074,0.471612229,0.774069727
STK17A,-0.095055109,6.387199656,0.546548974,0.471725669,0.774069727
BAX,0.068409756,5.933733923,0.546508607,0.471741735,0.774069727
LIN52,-0.154441763,2.112890892,0.546471181,0.471756631,0.774069727
ZNF624,-0.155480707,2.774377419,0.546416863,0.471778251,0.774069727
ASB14,0.386394519,0.362161859,0.546402234,0.471784074,0.774069727
ATP6V1F,0.075868506,7.04201807,0.546247087,0.471845839,0.774069727
ANKRD2,-0.366723851,0.78815072,0.54620241,0.471863628,0.774069727
CAMK2G,0.070323089,6.042320566,0.545820652,0.472015676,0.774181933
KDM1B,-0.077846638,5.611862062,0.545739495,0.47204801,0.774181933
GCLM,-0.071498282,5.525397676,0.545351311,0.47220272,0.774340537
LEPR,-0.121670342,3.864328894,0.544908458,0.472379324,0.774535
ZNF425,0.151856265,2.177714074,0.54431124,0.472617664,0.774830629
AFF4,-0.058835072,7.844515948,0.543851179,0.472801405,0.774890069
STRIP1,0.074530553,5.216804031,0.543826479,0.472811274,0.774890069
SNORA41,0.578133127,-1.005086258,0.543784483,0.472828053,0.774890069
ZNF805,-0.138582801,2.864091579,0.543542726,0.472924665,0.774913198
USP28,-0.087669761,4.518140327,0.543458686,0.472958258,0.774913198
KIAA1614,-0.696938683,-1.220590713,0.542895109,0.473183635,0.77493788
MRPL49,0.074495357,5.788518113,0.542485247,0.473347655,0.77493788
SLC29A1,0.101387287,4.236154246,0.542394941,0.473383807,0.77493788
ZBTB4,-0.05964036,8.280026201,0.542270455,0.47343365,0.77493788
GLCCI1,-0.122874938,2.943999764,0.541786774,0.473627395,0.77493788
RMI1,-0.248054429,1.289360321,0.541783427,0.473628737,0.77493788
ARL11,0.546799686,-0.977114852,0.54167492,0.473672219,0.77493788
DTX2P1-UPK3BP1-PMS2P11,0.164450536,2.317472156,0.5415893,0.473706536,0.77493788
PLEKHG6,0.160336003,2.772870854,0.541449301,0.473762656,0.77493788
ZNF311,-0.145871928,2.426470742,0.541416828,0.473775674,0.77493788
ZNF283,-0.179320196,2.008551398,0.541218478,0.473855207,0.77493788
ZSCAN23,-0.30884861,0.566273594,0.541128144,0.473891437,0.77493788
ANO1,0.135388815,3.383570779,0.541069225,0.473915069,0.77493788
C9orf43,-0.34814141,-0.112689154,0.541056025,0.473920364,0.77493788
RALGAPA1,-0.088394563,4.480750459,0.541036795,0.473928078,0.77493788
IDO1,0.228485934,0.999324245,0.540994044,0.473945227,0.77493788
RPRD1A,-0.098409025,5.33551874,0.540871211,0.473994507,0.77493788
TXNDC9,0.091096919,4.840282162,0.540682897,0.474070075,0.77493788
CKB,0.138491492,5.123589733,0.540538456,0.474128052,0.77493788
RAPSN,-0.611987711,-1.303790994,0.540522947,0.474134278,0.77493788
BPTF,-0.058256565,7.279138849,0.539986879,0.474349557,0.775174316
AGAP6,0.124373241,2.999581219,0.539847055,0.474405736,0.775174316
CHMP6,0.129517338,3.209440558,0.539596511,0.474506429,0.775174316
SYCP2L,-0.254081342,0.694082499,0.539534757,0.474531253,0.775174316
GRHPR,0.074006981,6.186877365,0.539363208,0.474600225,0.775174316
NRP2,0.078517184,5.536202623,0.5391228,0.474696912,0.775174316
DNAJC19,-0.092595415,4.006378636,0.539066898,0.474719399,0.775174316
COL16A1,0.100874278,6.973683456,0.539007086,0.474743461,0.775174316
DDX6,-0.06619349,8.064575321,0.538376349,0.47499733,0.775399938
SLC25A3,-0.065409746,7.837305529,0.538252424,0.475047236,0.775399938
TMEM64,-0.12640357,3.943341792,0.538230945,0.475055887,0.775399938
ZNHIT1,-0.072834915,5.599499243,0.537999128,0.47514927,0.775412746
KIF17,-0.610281093,-0.805378896,0.537461438,0.475365989,0.775412746
DHX9,0.060895794,7.465310168,0.537429869,0.475378718,0.775412746
ANXA5,-0.079555683,9.980862654,0.537410292,0.475386612,0.775412746
STAU1,0.064533639,7.71692841,0.537331341,0.475418451,0.775412746
ANO4,0.136439743,2.949954106,0.537257665,0.475448164,0.775412746
ELFN1,-0.559700027,-1.127015852,0.536988416,0.475556782,0.775412746
PSORS1C1,0.212919084,1.008048502,0.536809521,0.475628973,0.775412746
ZNF850,-0.176331293,1.533830715,0.536792668,0.475635775,0.775412746
LINC00115,-0.295680408,0.279403703,0.536770883,0.475644568,0.775412746
ANKDD1A,-0.32630665,0.010231772,0.536624639,0.4757036,0.775414294
EPHB6,-0.320692702,-0.04490821,0.536479977,0.475762007,0.77541482
LRP12,0.091040013,5.318604216,0.536264668,0.475848958,0.775461864
