Identifier	Database
ENSG00000155792	Ensembl
ENSG00000107643	Ensembl
ENSG00000126016	Ensembl
CHEBI:62519	ChEBI
ENSG00000164327	Ensembl
ENSG00000106615	Ensembl
ENSG00000131023	Ensembl
ENSG00000123384	Ensembl
ENSG00000105173	Ensembl
ENSG00000197122	Ensembl
ENSG00000196363	Ensembl
ENSG00000162711	Ensembl
ENSG00000121879	Ensembl
ENSG00000189403	Ensembl
ENSG00000087245	Ensembl
ENSG00000167965	Ensembl
ENSG00000100985	Ensembl
ENSG00000023287	Ensembl
ENSG00000204673	Ensembl
ENSG00000163930	Ensembl
ENSG00000175592	Ensembl
ENSG00000198793	Ensembl
ENSG00000079277	Ensembl
ENSG00000187840	Ensembl
ENSG00000135679	Ensembl
ENSG00000177606	Ensembl
ENSG00000100784	Ensembl
CHEBI:18348	ChEBI
ENSG00000187079	Ensembl
ENSG00000087088	Ensembl
ENSG00000137154	Ensembl
ENSG00000142208	Ensembl
ENSG00000101407	Ensembl
ENSG00000160691	Ensembl
ENSG00000103197	Ensembl
MCL1	HGNC
ENSG00000081059	Ensembl
ENSG00000115687	Ensembl
ENSG00000141564	Ensembl
ENSG00000125538	Ensembl
ENSG00000204305	Ensembl
ENSG00000114867	Ensembl
ENSG00000055130	Ensembl
ENSG00000166167	Ensembl
ENSG00000110092	Ensembl
Q9UJ41	Uniprot-TrEMBL
ENSG00000104332	Ensembl
ENSG00000112715	Ensembl
ENSG00000166484	Ensembl
ENSG00000186575	Ensembl
ENSG00000138795	Ensembl
ENSG00000110092	Ensembl
ENSG00000132792	Ensembl
ENSG00000147889	Ensembl
ENSG00000251655	Ensembl
E9PGC0	Uniprot-TrEMBL
ENSG00000173531	Ensembl
ENSG00000197461	Ensembl
ENSG00000071242	Ensembl
ENSG00000112062	Ensembl
ENSG00000100030	Ensembl
CHEBI:16618	ChEBI
ENSG00000115904	Ensembl
ENSG00000034152	Ensembl
ENSG00000171791	Ensembl
ENSG00000030110	Ensembl
ENSG00000175224	Ensembl
ENSG00000105723	Ensembl
ENSG00000169032	Ensembl
ENSG00000171791	Ensembl
ENSG00000110492	Ensembl
GRB2	HGNC
ENSG00000126581	Ensembl
ENSG00000169398	Ensembl
ENSG00000132155	Ensembl
ENSG00000174775	Ensembl
ENSG00000119487	Ensembl
ENSG00000141510	Ensembl
ENSG00000151665	Ensembl
ENSG00000137764	Ensembl
ENSG00000150907	Ensembl
ENSG00000105327	Ensembl
ENSG00000135446	Ensembl
ENSG00000149311	Ensembl
ENSG00000165699	Ensembl
ENSG00000151748	Ensembl
ENSG00000177169	Ensembl
ENSG00000160469	Ensembl
ENSG00000152256	Ensembl
ENSG00000168646	Ensembl
ENSG00000095015	Ensembl
ENSG00000134058	Ensembl
ENSG00000129474	Ensembl
ENSG00000134982	Ensembl
ENSG00000124762	Ensembl
ENSG00000100644	Ensembl
ENSG00000123374	Ensembl
ENSG00000109320	Ensembl
ENSG00000168404	Ensembl
ENSG00000147889	Ensembl
ENSG00000101412	Ensembl
ENSG00000137752	Ensembl
ENSG00000100726	Ensembl
ENSG00000102882	Ensembl
ENSG00000107984	Ensembl
ENSG00000107404	Ensembl
ENSG00000162434	Ensembl
ENSG00000171862	Ensembl
ENSG00000149269	Ensembl
Q8IX03	Uniprot-TrEMBL
ENSG00000115415	Ensembl
ENSG00000157240	Ensembl
ENSG00000065559	Ensembl
ENSG00000174775	Ensembl
ENSG00000100784	Ensembl
ENSG00000079277	Ensembl
ENSG00000110492	Ensembl
ENSG00000100726	Ensembl
ENSG00000101407	Ensembl
ENSG00000167965	Ensembl
ENSG00000155792	Ensembl
ENSG00000198793	Ensembl
ENSG00000137693	Ensembl
ENSG00000102125	Ensembl
ENSG00000135679	Ensembl
ENSG00000132792	Ensembl
ENSG00000124762	Ensembl
ENSG00000087088	Ensembl
ENSG00000102125	Ensembl
ENSG00000132792	Ensembl
ENSG00000132792	Ensembl
ENSG00000101412	Ensembl
ENSG00000251655	Ensembl
ENSG00000189403	Ensembl
ENSG00000189403	Ensembl
ENSG00000204673	Ensembl
ENSG00000141564	Ensembl
ENSG00000100726	Ensembl
ENSG00000101407	Ensembl
ENSG00000167965	Ensembl
ENSG00000155792	Ensembl
ENSG00000198793	Ensembl
ENSG00000189403	Ensembl
ENSG00000125538	Ensembl
ENSG00000125538	Ensembl
ENSG00000124762	Ensembl
ENSG00000137693	Ensembl
ENSG00000102125	Ensembl
