Identifier	Database
ENSG00000105393	Ensembl
ENSG00000154920	Ensembl
ENSG00000139351	Ensembl
ENSG00000012048	Ensembl
ENSG00000051180	Ensembl
ENSG00000138385	Ensembl
ENSG00000101773	Ensembl
ENSG00000104320	Ensembl
ENSG00000062822	Ensembl
ENSG00000197299	Ensembl
ENSG00000139618	Ensembl
ENSG00000138376	Ensembl
ENSG00000185515	Ensembl
ENSG00000163322	Ensembl
ENSG00000158019	Ensembl
ENSG00000132383	Ensembl
ENSG00000149311	Ensembl
ENSG00000020922	Ensembl
ENSG00000172732	Ensembl
ENSG00000002016	Ensembl
ENSG00000083093	Ensembl
ENSG00000177302	Ensembl
ENSG00000087206	Ensembl
ENSG00000163781	Ensembl
ENSG00000136492	Ensembl
ENSG00000127922	Ensembl
ENSG00000085999	Ensembl
ENSG00000113522	Ensembl
ENSG00000197299	Ensembl
