Identifier	Database
ENSG00000113520	Ensembl
ENSG00000111537	Ensembl
ENSG00000171855	Ensembl
ENSG00000118785	Ensembl
ENSG00000110944	Ensembl
ENSG00000147885	Ensembl
ENSG00000162892	Ensembl
ENSG00000234829	Ensembl
ENSG00000147896	Ensembl
ENSG00000183709	Ensembl
ENSG00000113302	Ensembl
ENSG00000120242	Ensembl
ENSG00000108702	Ensembl
ENSG00000169194	Ensembl
ENSG00000233816	Ensembl
ENSG00000136694	Ensembl
ENSG00000197110	Ensembl
ENSG00000163739	Ensembl
ENSG00000138684	Ensembl
ENSG00000113302	Ensembl
ENSG00000164136	Ensembl
ENSG00000188379	Ensembl
ENSG00000109471	Ensembl
ENSG00000162892	Ensembl
ENSG00000145777	Ensembl
ENSG00000136697	Ensembl
ENSG00000142224	Ensembl
ENSG00000136695	Ensembl
ENSG00000099985	Ensembl
ENSG00000232810	Ensembl
ENSG00000145839	Ensembl
ENSG00000111536	Ensembl
ENSG00000183709	Ensembl
ENSG00000136634	Ensembl
ENSG00000136244	Ensembl
ENSG00000166090	Ensembl
ENSG00000228083	Ensembl
ENSG00000104432	Ensembl
ENSG00000184371	Ensembl
ENSG00000115008	Ensembl
ENSG00000182393	Ensembl
ENSG00000214042	Ensembl
ENSG00000162891	Ensembl
ENSG00000130427	Ensembl
ENSG00000151882	Ensembl
ENSG00000177047	Ensembl
ENSG00000128342	Ensembl
ENSG00000164400	Ensembl
ENSG00000164399	Ensembl
ENSG00000168811	Ensembl
ENSG00000197272	Ensembl
ENSG00000136689	Ensembl
ENSG00000197919	Ensembl
ENSG00000095752	Ensembl
ENSG00000127318	Ensembl
ENSG00000147873	Ensembl
ENSG00000204671	Ensembl
ENSG00000113525	Ensembl
ENSG00000150281	Ensembl
ENSG00000125538	Ensembl
ENSG00000105246	Ensembl
ENSG00000125571	Ensembl
ENSG00000236637	Ensembl
ENSG00000120235	Ensembl
ENSG00000150782	Ensembl
ENSG00000137033	Ensembl
ENSG00000242689	Ensembl
ENSG00000109471	Ensembl
ENSG00000169429	Ensembl
ENSG00000149968	Ensembl
ENSG00000108342	Ensembl
6347	Entrez Gene
ENSG00000164400	Ensembl
CHEBI:26523	ChEBI
ENSG00000169245	Ensembl
ENSG00000232810	Ensembl
IL12A	HGNC
D6RC45	Uniprot-TrEMBL
ENSG00000125538	Ensembl
ENSG00000196611	Ensembl
ENSG00000136244	Ensembl
ENSG00000136244	Ensembl
ENSG00000125538	Ensembl
ENSG00000169429	Ensembl
6347	Entrez Gene
ENSG00000232810	Ensembl
IL12A	HGNC
ENSG00000112715	Ensembl
ENSG00000100985	Ensembl
ENSG00000105329	Ensembl
ENSG00000163739	Ensembl
ENSG00000184371	Ensembl
ENSG00000109321	Ensembl
ENSG00000112116	Ensembl
ENSG00000112115	Ensembl
IL22	HGNC
ENSG00000138755	Ensembl
ENSG00000111537	Ensembl
ENSG00000197919	Ensembl
15551	ChEBI
35121-78-9	CAS
ENSG00000164136	Ensembl
ENSG00000109471	Ensembl
ENSG00000136696	Ensembl
ENSG00000136688	Ensembl
P01374	Uniprot-TrEMBL
ENSG00000102524	Ensembl
ENSG00000161955	Ensembl
ENSG00000112115	Ensembl
ENSG00000127743	Ensembl
ENSG00000172458	Ensembl
ENSG00000112116	Ensembl
ENSG00000124391	Ensembl
ENSG00000186803	Ensembl
ENSG00000137080	Ensembl
ENSG00000168811	Ensembl
ENSG00000197110	Ensembl
ENSG00000182393	Ensembl
ENSG00000108342	Ensembl
ENSG00000164400	Ensembl
ENSG00000108691	Ensembl
ENSG00000277632	Ensembl
ENSG00000276085	Ensembl
ENSG00000275302	Ensembl
ENSG00000276070	Ensembl
ENSG00000271503	Ensembl
ENSG00000181374	Ensembl
ENSG00000108688	Ensembl
ENSG00000108700	Ensembl
ENSG00000172156	Ensembl
ENSG00000276409	Ensembl
ENSG00000275718	Ensembl
ENSG00000275152	Ensembl
ENSG00000102970	Ensembl
ENSG00000275385	Ensembl
ENSG00000172724	Ensembl
ENSG00000115009	Ensembl
ENSG00000137077	Ensembl
ENSG00000102962	Ensembl
ENSG00000274736	Ensembl
ENSG00000106178	Ensembl
ENSG00000131142	Ensembl
ENSG00000213927	Ensembl
ENSG00000006606	Ensembl
ENSG00000143184	Ensembl
ENSG00000143185	Ensembl
ENSG00000081041	Ensembl
ENSG00000163734	Ensembl
ENSG00000163735	Ensembl
ENSG00000124875	Ensembl
ENSG00000163736	Ensembl
ENSG00000169245	Ensembl
ENSG00000169248	Ensembl
ENSG00000107562	Ensembl
ENSG00000161921	Ensembl
ENSG00000189377	Ensembl
ENSG00000006210	Ensembl
ENSG00000163737	Ensembl
ENSG00000109272	Ensembl
ENSG00000169429	Ensembl
ENSG00000138755	Ensembl
ENSG00000156234	Ensembl
ENSG00000145824	Ensembl
