Identifier	Database
ENSG00000106799	Ensembl
50507	Entrez Gene
ENSG00000108984	Ensembl
ENSG00000100030	Ensembl
ENSG00000130368	Ensembl
ENSG00000163513	Ensembl
ENSG00000204628	Ensembl
Q9BYF1	Uniprot-TrEMBL
ENSG00000126458	Ensembl
ENSG00000132155	Ensembl
P01019	Uniprot-TrEMBL
ENSG00000141646	Ensembl
ENSG00000170962	Ensembl
ENSG00000137070	Ensembl
ENSG00000107796	Ensembl
ENSG00000185591	Ensembl
ENSG00000144891	Ensembl
ENSG00000166949	Ensembl
ENSG00000130522	Ensembl
WP2332	WikiPathways
ENSG00000095752	Ensembl
CHEBI:58506	ChEBI
ENSG00000118523	Ensembl
ENSG00000131187	Ensembl
ENSG00000100644	Ensembl
WP254	WikiPathways
ENSG00000105329	Ensembl
WP179	WikiPathways
2.7.11.13	Enzyme Nomenclature
ENSG00000134352	Ensembl
ENSG00000179295	Ensembl
ENSG00000108821	Ensembl
WP558	WikiPathways
ENSG00000144891	Ensembl
ENSG00000144891	Ensembl
ENSG00000164692	Ensembl
ENSG00000105329	Ensembl
ENSG00000095752	Ensembl
ENSG00000108821	Ensembl
ENSG00000164692	Ensembl
CHEBI:58506	ChEBI
CHEBI:58506	ChEBI
ENSG00000105329	Ensembl
WP4818	WikiPathways
ENSG00000166949	Ensembl
P01019	Uniprot-TrEMBL
ENSG00000100030	Ensembl
50507	Entrez Gene
ENSG00000108821	Ensembl
ENSG00000108821	Ensembl
ENSG00000126458	Ensembl
ENSG00000132155	Ensembl
ENSG00000108984	Ensembl
ENSG00000100030	Ensembl
ENSG00000100030	Ensembl
ENSG00000105329	Ensembl
ENSG00000106799	Ensembl
ENSG00000163513	Ensembl
ENSG00000166949	Ensembl
ENSG00000141646	Ensembl
ENSG00000166949	Ensembl
WP5095	WikiPathways
WP5095	WikiPathways
