X	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5	VPA_EC10_24h_run1	VPA_EC10_24h_run2	VPA_EC10_24h_run3	VPA_EC10_24h_run4	VPA_EC10_24h_run5
flad1_85030	1	4	2	3	0	4	6	6	3	11	3	3	3	5	5
plekhg4_85031	558	388	486	306	0	493	336	395	306	315	421	279	323	375	314
tmem65_85032	247	161	198	137	0	238	142	156	107	143	145	149	139	179	149
rnf19b_85033	53	6	14	11	0	19	18	19	9	8	19	11	31	13	14
phlda3_85034	11	40	17	5	0	11	15	23	5	11	7	8	14	5	9
cnr1_85035	3	1	1	2	0	1	2	2	0	1	0	2	0	2	3
brip1_85036	6	8	8	7	0	3	6	6	3	4	0	4	4	4	0
carmil1_85037	5	6	5	1	0	0	8	4	1	4	1	6	9	7	7
sec62_85038	170	133	177	122	1	187	124	165	157	148	106	131	135	179	126
atp1b1a_85039	123	140	181	148	0	112	155	204	191	132	104	142	119	148	121
eed_85040	110	82	70	48	0	95	77	86	49	52	115	48	65	44	41
fcho1_85041	14	8	10	9	0	3	7	8	5	10	4	6	2	8	5
socs3a_85042	3	16	18	9	0	7	20	7	9	16	2	6	14	11	17
hdac8_85043	3	3	7	10	0	6	1	7	3	7	0	6	8	6	2
pomca_85044	5	7	2	0	0	0	3	1	2	7	2	2	12	4	33
eloa_85045	297	188	228	203	0	244	220	227	198	233	164	175	164	233	216
atp6v0b_85046	217	286	227	300	1	125	262	271	322	267	147	211	203	274	237
atad5a_85047	10	6	12	7	0	13	6	8	12	4	2	2	8	8	3
rxylt1_85048	5	2	4	3	0	0	2	2	3	2	2	1	2	8	0
cops7a_85049	479	393	410	471	0	480	445	500	425	377	313	285	389	474	379
tnfsf13_85050	1	1	0	2	0	2	2	1	2	9	2	2	3	0	3
edn1_85051	22	48	56	37	0	31	47	53	55	41	29	33	38	40	43
mcm10_85052	69	56	55	38	0	97	51	94	36	49	53	40	52	54	32
zgc:162964_85053	4	3	1	0	0	3	6	3	1	4	4	2	2	2	5
casc3_85054	734	388	421	397	0	686	432	381	271	323	466	295	343	354	281
si:ch1073-342h5.2_85055	10	10	14	14	0	7	17	10	15	13	19	6	17	17	10
vcam1b_85056	84	47	72	41	0	49	58	50	37	41	34	57	38	64	33
cyp11c1_85057	7	6	7	2	0	8	0	4	0	5	5	5	6	4	4
pnp5b_85058	50	28	21	18	0	29	22	40	16	10	34	18	32	37	20
sspn_85059	0	1	2	1	0	0	4	0	3	5	1	1	2	0	1
slc38a2_85060	29	27	36	44	0	41	24	42	51	39	44	15	37	40	30
bace2_85061	3	8	6	4	0	7	13	5	7	10	6	13	3	3	4
atp6ap1a_85062	33	38	18	15	0	15	22	26	26	16	15	4	15	22	13
camk4_85063	6	2	3	8	0	3	2	1	3	7	0	4	5	0	0
ero1b_85064	109	81	94	65	1	98	63	77	72	65	59	61	85	74	74
foxb1a_85065	94	76	117	51	0	92	86	98	47	56	85	52	77	73	37
eomesa_85066	83	49	57	53	0	71	56	80	62	42	34	39	57	57	49
gstz1_85067	18	12	15	10	0	2	0	1	4	4	12	8	7	4	6
man2b1_85068	68	70	64	76	0	79	72	64	89	82	71	62	76	86	74
prcp_85069	9	4	7	9	0	6	5	10	8	6	6	8	2	14	3
rab4a_85070	387	301	350	280	0	318	331	163	252	174	340	297	211	345	205
havcr1_85071	0	2	0	7	0	7	1	6	3	10	3	6	5	3	1
cdk7_85072	203	153	175	149	0	229	129	210	119	96	172	121	136	144	100
ipcef1_85073	365	160	269	140	0	228	162	195	164	149	222	124	187	198	229
wfs1b_85074	1	4	2	6	0	13	9	7	1	10	1	0	10	5	6
gps1_85075	99	157	104	259	0	78	188	193	208	238	104	155	124	184	165
lgmn_85076	16	15	14	5	0	17	12	7	14	9	4	5	10	10	7
cyp51_85077	36	70	82	114	0	52	104	108	86	62	57	52	67	62	39
dre-mir-145_85078	1	10	0	5	0	2	1	3	9	4	4	10	2	2	2
phlpp1_85079	2	6	8	4	0	8	6	10	1	6	1	1	4	4	12
hbba1_85080	0	0	3	1	0	3	4	0	0	3	0	1	2	1	1
grwd1_85081	148	140	111	101	1	164	131	149	94	71	131	72	57	92	69
daxx_85082	289	323	394	308	1	299	293	269	339	318	145	225	287	272	313
ptk2ab_85083	102	127	80	113	0	120	116	72	107	110	83	131	70	164	99
efhd2_85084	52	16	32	15	0	37	19	27	16	24	18	22	8	23	14
timp4.1_85085	5	11	1	13	0	13	7	2	5	10	14	8	3	7	6
kat2b_85086	0	1	1	2	0	1	2	3	1	0	0	2	2	2	1
mtnr1bb_85087	0	5	0	3	0	0	6	2	3	3	0	3	3	2	1
hs2st1a_85088	390	613	505	620	1	391	520	613	546	585	341	496	371	658	542
ggt1a_85089	1	4	0	0	0	3	0	1	3	4	0	3	1	3	1
clpxa_85090	322	287	253	244	1	255	278	311	179	212	269	204	284	307	176
ccnjl_85091	8	2	9	3	0	7	8	10	4	4	12	9	4	0	4
ttc21b_85092	1	1	2	1	0	0	3	3	3	5	0	3	2	1	1
rbms2a_85093	226	117	197	153	0	219	155	210	94	116	202	157	155	151	112
cyt1_85094	14424	23317	27187	31532	14	15556	22315	21755	30993	25977	14906	21386	24704	29641	28131
CABZ01063556.1_85095	97	194	108	287	0	111	187	153	308	304	75	137	141	215	225
aebp2_85096	491	322	421	264	0	486	323	290	202	255	364	189	304	340	296
fsd1_85097	56	18	33	15	0	28	28	45	16	25	60	17	18	15	11
tmem107_85098	17	20	23	23	0	14	19	33	26	10	7	17	18	24	5
dlb_85099	363	414	313	399	0	331	405	424	358	366	320	258	274	441	376
prmt5_85100	23	10	28	10	0	28	17	38	18	2	21	12	14	19	4
cgnb_85101	125	62	87	43	0	108	50	85	32	40	72	32	47	51	51
sytl1_85102	15	7	10	11	0	22	12	10	4	4	11	7	12	3	4
viml_85103	3	0	2	6	0	2	4	0	0	3	1	0	4	6	4
notch3_85104	91	81	80	80	0	115	70	108	62	48	87	41	57	59	51
pttg1_85105	285	295	249	301	0	261	314	317	287	226	248	255	206	334	199
itgae.2_85106	0	2	2	2	0	3	3	7	4	3	4	2	0	0	2
