X	Ebut_EC10_48h_run1	Ebut_EC10_48h_run2	Ebut_EC10_48h_run3	Ebut_EC10_48h_run4	Ebut_EC10_48h_run5	DMSO_48h_run1	DMSO_48h_run2	DMSO_48h_run3	DMSO_48h_run4	DMSO_48h_run5	NK_48h_run1	NK_48h_run2	NK_48h_run3	NK_48h_run4	NK_48h_run5
cpt1b_84232	28	25	21	34	35	23	16	15	34	0	33	17	16	29	23
clca1_84233	0	0	2	0	4	0	0	0	0	0	0	0	0	1	0
col4a6_84234	10	13	10	4	14	15	8	6	11	0	14	9	12	16	5
col6a2_84235	160	192	150	261	291	135	234	170	261	0	145	235	167	258	294
rwdd_84236	34	42	26	25	17	31	32	38	9	0	10	30	32	36	9
si:ch211-219a15.4_84237	0	1	5	2	4	0	0	0	3	0	2	2	1	3	0
gc_84238	0	0	7	4	2	2	0	3	9	0	0	1	3	6	1
si:ch211-153b23.4_84239	0	9	9	7	10	1	6	7	7	0	5	2	10	10	6
col11a1b_84240	1137	1085	1240	1012	1072	1069	1170	1128	1057	1	1160	1138	1081	1017	1167
col6a3_84241	428	431	496	407	483	525	360	319	538	1	599	384	463	398	415
nr2f2_84242	8	2	4	3	6	4	2	3	10	0	6	3	2	9	12
mpv17l2_84243	0	2	1	4	0	5	1	2	0	0	2	3	1	4	4
crot_84244	17	29	18	29	26	9	26	14	35	0	22	25	21	20	30
eepd1_84245	33	19	18	22	23	30	25	27	34	0	24	19	29	27	17
ctsd_84246	29	53	26	16	18	33	30	20	45	1	33	35	31	23	49
anpepb_84247	0	4	6	4	10	1	0	5	15	0	5	1	5	4	14
cspg4_84248	0	3	2	5	11	3	3	3	7	0	3	1	1	4	8
si:dkey-183i3.5_84249	456	878	879	761	1078	422	1191	538	682	3	541	1250	460	489	888
got1_84250	325	271	280	341	301	301	292	283	416	1	320	291	339	326	273
zc3h12a_84251	3	9	15	19	6	7	2	6	7	0	4	11	6	4	8
si:ch211-147m6.1_84252	1	3	10	5	4	1	0	0	5	0	0	3	0	1	3
gstk1_84253	86	59	69	35	23	39	35	35	28	0	33	34	47	34	43
kita_84254	24	25	37	19	33	21	28	27	30	0	25	31	29	21	21
cd9b_84255	0	0	0	0	1	3	0	0	0	0	4	0	0	0	0
dnmt3ab_84256	234	188	227	222	188	250	149	190	239	0	240	196	196	208	169
nox1_84257	14	32	31	14	17	15	23	16	24	1	17	20	43	31	21
neflb_84258	8	13	18	23	14	5	9	7	12	0	13	11	12	6	19
thbd_84259	3	0	2	3	1	3	1	0	0	0	5	1	3	1	1
si:ch211-207i20.2_84260	9	8	10	4	3	6	3	5	6	1	13	6	2	7	4
hadhb_84261	22	25	43	26	21	27	23	35	37	0	17	30	27	16	17
tgfbi_84262	172	125	89	118	109	59	104	80	108	0	93	135	94	135	121
zgc:136930_84263	0	1	5	1	1	0	1	1	2	0	1	0	1	2	2
matn1_84264	8	8	10	6	11	7	6	9	6	0	13	3	2	14	7
tmem176l.2_84265	2	1	2	3	3	3	0	0	2	0	2	1	0	3	3
mia_84266	0	6	2	3	5	3	1	4	2	0	0	0	1	1	1
klf11a_84267	71	82	82	41	131	46	104	52	60	0	52	107	44	55	106
slco3a1_84268	7	7	8	5	14	6	8	8	10	0	12	4	10	10	5
cyp2y3_84269	659	534	549	500	763	532	558	519	440	0	503	554	534	513	679
btr06_84270	0	4	6	4	8	7	2	1	2	0	5	1	5	2	10
ttr_84271	8	6	7	4	3	5	1	1	5	0	0	2	4	5	1
klf11b_84272	18	8	12	6	10	14	5	7	7	0	8	7	4	12	11
si:ch211-207n23.2_84273	8	6	10	7	10	6	5	7	5	0	4	4	3	10	4
col2a1b_84274	288	384	443	247	262	324	277	363	328	0	478	250	292	282	241
tspan7_84275	1176	1073	1070	1386	1646	993	1460	1134	1122	1	935	1453	1231	1434	1714
clca1_84276	2	1	4	7	10	0	3	1	7	0	2	2	4	3	5
col10a1a_84277	0	4	3	2	4	0	1	2	1	0	2	3	1	4	0
krtt1c19e_84278	6108	6333	8587	5039	6279	5897	4214	5308	5098	3	6180	5917	3787	4623	5156
sardh_84279	3	3	6	3	9	8	4	1	3	0	5	3	1	2	2
col1a1b_84280	323	335	295	87	124	195	382	278	217	0	201	266	288	109	325
nr0b2a_84281	2	3	18	19	16	5	3	2	4	0	14	6	0	6	8
slc25a20_84282	8	4	6	4	4	4	4	0	8	0	10	2	1	8	5
elocb_84283	869	856	955	754	935	560	848	777	792	1	725	757	841	761	909
crkl_84284	964	837	792	1249	1083	674	1028	650	965	0	579	1061	741	1084	987
elovl4b_84285	4	0	1	0	1	0	0	0	5	0	0	2	2	0	3
ndufa1_84286	1611	1637	1722	1340	1355	1158	1444	1370	1325	4	1473	1404	1382	1222	1258
nr2f1a_84287	105	115	141	106	58	177	64	113	123	0	204	62	115	90	59
si:dkey-201i2.4_84288	1	0	0	3	4	0	0	0	3	0	0	2	2	2	6
dhfr_84289	7	11	9	8	12	2	4	6	8	0	7	6	4	9	6
trak2_84290	3	7	0	4	4	3	2	1	7	0	1	0	1	0	1
pkmb_84291	370	586	545	373	616	232	625	707	473	0	273	618	421	456	698
sytl2a_84292	5	6	5	5	4	9	5	4	5	0	6	2	6	10	3
BX248108.1_84293	4	2	8	5	3	9	1	0	4	0	0	3	4	5	1
mboat7_84294	15	16	33	23	18	12	14	20	11	0	12	15	16	23	12
casp7_84295	24	35	32	28	25	25	14	16	23	0	25	14	27	18	24
vtg6_84296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
col12a1a_84297	145	145	107	166	214	121	129	127	158	0	152	120	152	178	161
sypl1_84298	34	32	37	40	27	36	34	36	39	0	27	29	37	42	43
robo1_84299	23	25	28	28	17	32	17	12	19	0	43	18	26	16	34
sparc_84300	7253	6961	7974	4602	7005	3693	6080	5695	4449	8	4337	5921	5422	4400	6556
col12a1b_84301	10	6	13	9	4	11	7	10	4	0	17	4	2	8	6
c1qb_84302	3	4	2	10	16	6	1	5	9	0	3	1	2	9	3
si:ch211-186e20.2_84303	3	2	6	10	5	3	1	3	10	0	2	7	0	4	4
zgc:153932_84304	0	3	10	8	9	2	2	4	12	0	0	3	0	7	1
ctnnal1_84305	158	135	162	116	127	167	112	110	137	0	144	120	103	120	144
dkk1b_84306	36	15	31	21	19	20	28	21	40	0	42	25	23	32	29
plcb3_84307	7	7	16	13	9	13	8	8	4	0	9	8	11	9	7
rbp2b_84308	4	2	5	1	4	5	6	4	11	0	11	1	8	3	7
tm7sf3_84309	150	206	153	224	230	142	212	201	200	0	162	208	187	218	192
ggh_84310	16	9	8	3	6	4	5	1	16	0	6	4	9	8	4
fgfbp2b_84311	68	172	188	193	200	60	151	187	133	0	81	159	101	111	130
ccdc85b_84312	649	643	633	716	758	867	644	590	649	0	657	745	603	639	519
chek2_84313	16	7	12	7	7	11	4	10	15	0	10	12	10	10	6
orc4_84314	190	153	172	166	219	187	185	187	177	0	174	176	181	196	211
zmp:0000000936_84315	20	11	17	17	17	28	13	15	21	0	4	14	16	17	19
ralab_84316	300	271	258	256	287	267	271	222	250	0	241	237	245	312	222
pygma_84317	43	38	50	45	31	16	48	38	35	0	35	29	52	32	56
BX255920.1_84318	1	1	1	3	4	3	1	2	7	0	2	4	5	3	1
apoc1_84319	12012	8807	12057	6975	12222	7601	7911	10394	9674	8	8158	7931	10944	8675	13816
fbl_84320	0	0	0	4	3	1	0	1	4	0	0	0	3	2	4
c1qc_84321	2	7	0	1	5	1	1	2	2	0	4	2	3	3	2
slc10a2_84322	1	3	3	1	1	1	1	2	0	0	1	1	5	8	2
lsm5_84323	185	226	125	282	263	123	307	185	267	1	161	246	223	235	301
ddx42_84324	97	93	85	113	80	72	48	84	80	0	100	65	79	88	52
