X	Mhex_1.2EC10_24h_run1	Mhex_1.2EC10_24h_run2	Mhex_1.2EC10_24h_run3	Mhex_1.2EC10_24h_run4	Mhex_1.2EC10_24h_run5	DMSO_24h_run1	DMSO_24h_run2	DMSO_24h_run3	DMSO_24h_run4	DMSO_24h_run5	NK_24h_run1	NK_24h_run2	NK_24h_run3	NK_24h_run4	NK_24h_run5
srsf10b_85553	52	18	29	21	17	41	21	25	10	0	42	29	42	28	26
rpap3_85554	462	406	565	656	750	540	626	548	674	0	573	628	576	481	700
pax8_85555	0	1	1	2	1	6	4	8	3	0	5	5	2	3	3
polr3b_85556	214	103	176	181	258	175	147	247	83	0	304	89	176	127	171
npas4l_85557	8	5	4	4	1	29	9	10	8	0	19	7	1	0	7
stxbp1a_85558	122	129	157	190	176	216	136	142	146	1	156	152	117	161	180
pax2a_85559	259	184	227	234	260	248	229	251	214	0	258	235	243	180	185
pla2g7_85560	1	3	2	2	3	0	6	5	0	0	0	1	0	0	0
slc16a10_85561	107	64	74	74	88	108	80	106	64	0	112	77	105	45	48
eef1b2_85562	62	65	49	68	82	95	68	69	55	0	92	91	74	55	53
cntf_85563	12	9	18	8	12	21	14	4	9	0	9	4	8	19	10
dll4_85564	4	1	2	2	5	2	7	1	9	0	4	2	1	0	6
ctr9_85565	303	229	247	310	316	480	267	335	181	0	378	301	282	186	146
eprs_85566	14	2	2	1	2	6	5	7	3	0	10	3	7	5	7
rrm1_85567	1111	985	1132	1383	1484	766	1360	1087	1561	1	567	1393	1300	1817	1490
rac1l_85568	23	11	11	4	21	21	23	10	19	0	6	15	7	14	30
aifm4_85569	5	3	4	1	8	4	4	3	2	0	10	5	0	6	1
rraga_85570	350	371	351	285	306	364	362	367	305	0	329	444	379	313	200
si:ch211-160f23.5_85571	133	147	106	86	111	213	92	144	150	0	199	126	164	96	90
ngb_85572	5	6	2	6	12	0	3	10	1	0	3	1	0	3	2
mxe_85573	0	2	0	3	5	0	2	0	0	0	0	3	1	2	3
sprb_85574	7	11	6	5	9	4	11	11	7	0	1	6	12	5	13
hikeshi_85575	35	29	36	15	28	29	20	34	22	0	53	38	51	33	21
si:dkey-288i20.2_85576	98	59	64	130	124	130	118	77	129	0	82	89	64	62	105
ush1c_85577	3	0	0	0	1	5	0	0	1	0	1	0	0	0	1
sema7a_85578	7	8	9	13	4	23	7	5	6	0	10	4	18	7	4
CACNG5_85579	0	3	0	0	0	3	0	2	0	0	0	2	1	0	4
atf1_85580	193	168	242	205	168	147	210	240	188	0	121	206	258	273	165
ephx1_85581	17	9	11	7	8	10	25	18	6	0	12	9	16	4	11
